MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
59213,Newcastle,West Ham,3,2,34.6,65.4,8.0,6.0,16.0,16.0,466.0,716.0,272.0,510.0,16.0,11.0,33.0,7.0,3.0,8.0,2.0,0.0,2.0,0.0,9.0,7.0,0.0,1.0
59204,West Brom,Southampton,3,0,39.5,60.5,6.0,4.0,15.0,14.0,491.0,634.0,285.0,442.0,15.0,14.0,24.0,14.0,5.0,10.0,4.0,2.0,0.0,1.0,12.0,11.0,0.0,0.0
59196,Brighton,Everton,0,0,55.2,44.8,3.0,1.0,23.0,8.0,676.0,592.0,503.0,400.0,18.0,7.0,16.0,21.0,10.0,3.0,0.0,1.0,1.0,2.0,12.0,7.0,0.0,0.0
59203,Spurs,Man Utd,1,3,46.8,53.2,3.0,7.0,12.0,12.0,643.0,715.0,439.0,503.0,21.0,19.0,14.0,16.0,7.0,5.0,3.0,1.0,1.0,5.0,11.0,15.0,0.0,0.0
59202,Sheffield Utd,Arsenal,0,3,45.1,54.9,2.0,5.0,7.0,14.0,609.0,731.0,469.0,577.0,16.0,12.0,19.0,11.0,2.0,4.0,2.0,3.0,1.0,1.0,9.0,6.0,0.0,0.0
59198,Crystal Palace,Chelsea,1,4,35.7,64.3,1.0,10.0,1.0,23.0,601.0,962.0,434.0,782.0,14.0,20.0,17.0,9.0,0.0,8.0,1.0,2.0,1.0,0.0,7.0,12.0,0.0,0.0
59197,Burnley,Newcastle,1,2,57.1,42.9,4.0,5.0,24.0,10.0,645.0,553.0,445.0,342.0,12.0,10.0,9.0,41.0,13.0,3.0,0.0,2.0,1.0,0.0,11.0,12.0,0.0,0.0
59205,West Ham,Leicester,3,2,36.3,63.7,4.0,5.0,4.0,15.0,551.0,812.0,365.0,629.0,10.0,13.0,23.0,8.0,1.0,9.0,3.0,1.0,3.0,3.0,7.0,13.0,0.0,0.0
59199,Fulham,Wolves,0,1,49.6,50.4,3.0,3.0,14.0,7.0,641.0,663.0,439.0,452.0,18.0,19.0,10.0,23.0,3.0,4.0,3.0,1.0,0.0,0.0,11.0,8.0,0.0,0.0
59201,Man City,Leeds,1,2,71.1,28.9,7.0,2.0,29.0,2.0,828.0,428.0,621.0,252.0,8.0,16.0,6.0,35.0,9.0,3.0,2.0,3.0,3.0,1.0,12.0,15.0,0.0,1.0
59200,Liverpool,Aston Villa,2,1,66.3,33.7,10.0,5.0,23.0,9.0,769.0,511.0,577.0,296.0,14.0,18.0,16.0,23.0,7.0,0.0,2.0,2.0,2.0,4.0,16.0,11.0,0.0,0.0
59189,Everton,Crystal Palace,1,1,47.5,52.5,7.0,6.0,15.0,13.0,640.0,687.0,459.0,512.0,16.0,17.0,19.0,10.0,3.0,4.0,2.0,1.0,2.0,0.0,10.0,10.0,0.0,0.0
59195,Wolves,West Ham,2,3,66.1,33.9,5.0,6.0,20.0,9.0,826.0,499.0,628.0,322.0,20.0,11.0,14.0,21.0,4.0,2.0,1.0,1.0,1.0,4.0,9.0,9.0,0.0,0.0
59187,Aston Villa,Fulham,3,1,52.5,47.5,4.0,7.0,14.0,15.0,633.0,582.0,418.0,384.0,15.0,23.0,11.0,25.0,4.0,4.0,5.0,2.0,1.0,2.0,14.0,20.0,0.0,0.0
59192,Man Utd,Brighton,2,1,57.7,42.3,7.0,3.0,15.0,5.0,792.0,631.0,604.0,436.0,13.0,20.0,17.0,19.0,5.0,6.0,0.0,2.0,2.0,2.0,14.0,7.0,0.0,0.0
59191,Leicester,Man City,0,2,43.8,56.2,2.0,4.0,5.0,11.0,619.0,739.0,452.0,571.0,19.0,14.0,12.0,6.0,1.0,1.0,3.0,1.0,2.0,3.0,13.0,12.0,0.0,0.0
59186,Arsenal,Liverpool,0,3,35.8,64.2,2.0,7.0,3.0,16.0,556.0,879.0,395.0,703.0,21.0,18.0,24.0,10.0,1.0,2.0,0.0,3.0,1.0,1.0,10.0,10.0,0.0,0.0
59194,Southampton,Burnley,3,2,53.4,46.6,9.0,5.0,24.0,7.0,634.0,558.0,424.0,352.0,14.0,18.0,39.0,28.0,6.0,7.0,0.0,1.0,0.0,0.0,11.0,10.0,0.0,0.0
59193,Newcastle,Spurs,2,2,41.2,58.8,6.0,5.0,22.0,11.0,547.0,714.0,348.0,521.0,11.0,14.0,19.0,24.0,7.0,3.0,1.0,3.0,3.0,2.0,13.0,14.0,0.0,0.0
59188,Chelsea,West Brom,2,5,66.2,33.8,8.0,7.0,18.0,14.0,756.0,505.0,581.0,297.0,17.0,19.0,11.0,24.0,10.0,3.0,1.0,4.0,1.0,1.0,11.0,6.0,1.0,0.0
59190,Leeds,Sheffield Utd,2,1,54.1,45.9,8.0,1.0,23.0,9.0,688.0,608.0,491.0,410.0,15.0,17.0,12.0,22.0,5.0,7.0,1.0,1.0,1.0,2.0,12.0,13.0,0.0,0.0
59185,West Ham,Arsenal,3,3,36.9,63.1,5.0,7.0,15.0,16.0,516.0,785.0,348.0,606.0,12.0,10.0,20.0,21.0,3.0,5.0,1.0,0.0,3.0,1.0,18.0,8.0,0.0,0.0
59067,Aston Villa,Spurs,0,2,50.1,49.9,1.0,3.0,8.0,9.0,613.0,646.0,416.0,421.0,24.0,18.0,17.0,26.0,5.0,8.0,1.0,1.0,3.0,2.0,18.0,13.0,0.0,0.0
59176,Brighton,Newcastle,3,0,65.3,34.7,6.0,1.0,11.0,3.0,867.0,532.0,728.0,382.0,16.0,11.0,4.0,15.0,3.0,1.0,2.0,1.0,0.0,1.0,12.0,5.0,0.0,0.0
59179,Fulham,Leeds,1,2,51.2,48.8,6.0,4.0,13.0,13.0,590.0,573.0,339.0,319.0,20.0,25.0,32.0,39.0,13.0,7.0,1.0,4.0,2.0,2.0,13.0,12.0,0.0,0.0
59175,Wolves,Liverpool,0,1,52.7,47.3,5.0,4.0,10.0,12.0,714.0,667.0,508.0,467.0,18.0,14.0,13.0,26.0,3.0,2.0,2.0,1.0,2.0,1.0,17.0,10.0,0.0,0.0
59166,Arsenal,Spurs,2,1,52.6,47.4,3.0,3.0,13.0,6.0,697.0,662.0,519.0,482.0,20.0,18.0,8.0,24.0,6.0,3.0,0.0,1.0,1.0,2.0,12.0,14.0,0.0,1.0
59172,Man Utd,West Ham,1,0,61.8,38.2,4.0,0.0,15.0,7.0,843.0,595.0,684.0,411.0,13.0,13.0,14.0,26.0,6.0,2.0,0.0,2.0,4.0,0.0,12.0,2.0,0.0,0.0
59167,Crystal Palace,West Brom,1,0,44.3,55.7,4.0,1.0,6.0,12.0,527.0,614.0,324.0,397.0,17.0,19.0,32.0,20.0,3.0,2.0,1.0,1.0,3.0,1.0,16.0,15.0,0.0,0.0
59168,Everton,Burnley,1,2,65.5,34.5,4.0,5.0,14.0,14.0,721.0,480.0,547.0,291.0,8.0,6.0,12.0,28.0,7.0,4.0,2.0,1.0,0.0,4.0,9.0,6.0,0.0,0.0
59169,Fulham,Man City,0,3,46.1,53.9,0.0,7.0,3.0,8.0,632.0,724.0,444.0,529.0,22.0,20.0,7.0,15.0,4.0,2.0,1.0,3.0,0.0,0.0,14.0,13.0,0.0,0.0
59174,Southampton,Brighton,1,2,59.4,40.6,4.0,6.0,9.0,8.0,690.0,535.0,492.0,330.0,13.0,24.0,18.0,22.0,4.0,5.0,1.0,1.0,0.0,0.0,11.0,10.0,0.0,0.0
59171,Leicester,Sheffield Utd,5,0,71.7,28.3,10.0,0.0,19.0,1.0,928.0,457.0,750.0,291.0,19.0,14.0,10.0,20.0,9.0,1.0,2.0,0.0,0.0,2.0,10.0,9.0,0.0,0.0
59173,Newcastle,Aston Villa,1,1,49.2,50.8,3.0,6.0,12.0,15.0,595.0,635.0,392.0,411.0,20.0,16.0,18.0,30.0,2.0,2.0,0.0,4.0,2.0,3.0,10.0,10.0,0.0,0.0
59170,Leeds,Chelsea,0,0,37.7,62.3,4.0,8.0,7.0,15.0,545.0,797.0,330.0,588.0,13.0,17.0,14.0,20.0,8.0,5.0,5.0,3.0,3.0,0.0,16.0,6.0,0.0,0.0
59222,Man City,Southampton,5,2,58.3,41.7,10.0,6.0,17.0,11.0,848.0,627.0,673.0,481.0,8.0,22.0,10.0,11.0,5.0,5.0,1.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0
59159,Chelsea,Everton,2,0,65.5,34.5,9.0,1.0,19.0,7.0,882.0,521.0,713.0,369.0,18.0,10.0,11.0,11.0,7.0,3.0,1.0,0.0,0.0,3.0,11.0,12.0,0.0,0.0
59165,West Ham,Leeds,2,0,34.7,65.3,5.0,2.0,16.0,17.0,458.0,721.0,276.0,528.0,14.0,19.0,17.0,11.0,6.0,6.0,1.0,1.0,1.0,1.0,9.0,9.0,0.0,0.0
59161,Man City,Man Utd,0,2,65.9,34.1,6.0,6.0,23.0,8.0,915.0,547.0,715.0,374.0,17.0,13.0,7.0,20.0,6.0,2.0,0.0,1.0,0.0,3.0,9.0,12.0,0.0,0.0
59163,Spurs,Crystal Palace,4,1,64.2,35.8,5.0,1.0,12.0,5.0,887.0,545.0,690.0,373.0,27.0,18.0,20.0,11.0,1.0,5.0,1.0,4.0,2.0,3.0,8.0,17.0,0.0,0.0
59162,Sheffield Utd,Southampton,0,2,50.9,49.1,2.0,7.0,8.0,15.0,589.0,593.0,393.0,390.0,16.0,17.0,21.0,23.0,7.0,3.0,2.0,2.0,4.0,3.0,17.0,11.0,0.0,0.0
59156,Aston Villa,Wolves,0,0,49.2,50.8,1.0,2.0,9.0,10.0,585.0,621.0,410.0,424.0,23.0,12.0,16.0,29.0,5.0,3.0,3.0,0.0,1.0,0.0,13.0,13.0,0.0,0.0
