matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
8234,Petr Cech,Branislav Ivanovic,Ashley Cole,David Luiz,Gary Cahill,Nathan Aké,Oscar,Frank Lampard,Fernando Torres,Juan Mata,Demba Ba,Away Lineup,Tim Howard,Leighton Baines,Phil Jagielka,Sylvain Distin,Séamus Coleman,Darron Gibson,Steven Naismith,Steven Pienaar,Marouane Fellaini,Kevin Mirallas
8235,Pepe Reina,Glen Johnson,José Enrique,Jamie Carragher,Martin Skrtel,Philippe Coutinho,Jordan Henderson,Stewart Downing,Lucas Leiva,Jordon Ibe,Daniel Sturridge,Away Lineup,Robert Green,Armand Traore,Nedum Onuoha,Michael Harriman,Clint Hill,Shaun Derry,Park Ji-Sung,Andros Townsend,Stéphane Mbia,Loïc Rémy
8236,Joe Hart,Micah Richards,Pablo Zabaleta,Joleon Lescott,Aleksandar Kolarov,James Milner,Samir Nasri,Jack Rodwell,Yaya Touré,Edin Dzeko,Carlos Tevez,Away Lineup,John Ruddy,Steven Whittaker,Russell Martin,Javier Garrido,Ryan Bennett,Bradley Johnson,Robert Snodgrass,Jonny Howson,Anthony Pilkington,Grant Holt
8237,Steve Harper,Fabricio Coloccini,Mapou Yanga-Mbiwa,Mathieu Debuchy,Steven Taylor,Yohan Cabaye,Hatem Ben Arfa,Jonás Gutiérrez,Cheick Tioté,Papiss Cissé,Yoan Gouffran,Away Lineup,Wojciech Szczesny,Kieran Gibbs,Bacary Sagna,Per Mertesacker,Laurent Koscielny,Tomas Rosicky,Mikel Arteta,Aaron Ramsey,Theo Walcott,Santi Cazorla
8238,Kelvin Davis,Nathaniel Clyne,José Fonte,Luke Shaw,Jos Hooiveld,Morgan Schneiderlin,Steven Davis,Jay Rodríguez,Jack Cork,Adam Lallana,Rickie Lambert,Away Lineup,Asmir Begovic,Robert Huth,Marc Wilson,Ryan Shawcross,Ryan Shotton,Steven Nzonzi,Dean Whitehead,Jonathan Walters,Geoff Cameron,Matthew Etherington
8239,Michel Vorm,Chico Flores,Ashley Williams,Angel Rangel,Ben Davies,Leon Britton,Pablo Hernández,Nathan Dyer,Wayne Routledge,Jonathan de Guzmán,Michu,Away Lineup,Mark Schwarzer,John Arne Riise,Philippe Senderos,Brede Hangeland,Sascha Riether,Alexander Kacaniklic,Emmanuel Frimpong,Damien Duff,Eyong Enoh,Dimitar Berbatov
8240,Hugo Lloris,Kyle Walker,Jan Vertonghen,Michael Dawson,Benoit Assou-Ekotto,Clint Dempsey,Tom Huddlestone,Scott Parker,Aaron Lennon,Gareth Bale,Emmanuel Adebayor,Away Lineup,Simon Mignolet,Sebastian Larsson,Jack Colback,John O'Shea,Carlos Cuellar,Alfred N'Diaye,Adam Johnson,David Vaughan,James McClean,Danny Graham
8241,Ben Foster,Jonas Olsson,Liam Ridgewell,Gareth McAuley,Billy Jones,Claudio Yacob,James Morrison,Chris Brunt,Graham Dorrans,Youssouf Mulumbu,Shane Long,Away Lineup,Anders Lindegaard,Phil Jones,Jonny Evans,Antonio Valencia,Alexander Büttner,Anderson,Chicharito,Michael Carrick,Tom Cleverley,Shinji Kagawa
8242,Jussi Jääskeläinen,Winston Reid,Joseph O'Brien,James Collins,Guy Demel,Kevin Nolan,Ricardo Vaz Tê,Mark Noble,Mohamed Diamé,Joe Cole,Andy Carroll,Away Lineup,Alex McCarthy,Chris Gunter,Stephen Kelly,Sean Morrison,Kaspars Gorkss,Danny Guthrie,Hal Robson-Kanu,Jobi McAnuff,Garath McCleary,Jem Karacan
8243,Ali Al Habsi,Emmerson Boyce,Roger Espinoza,Román Golobart,Paul Scharner,James McCarthy,Ben Watson,Shaun Maloney,Jordi Gómez,James McArthur,Arouna Koné,Away Lineup,Bradley Guzan,Nathan Baker,Joe Bennett,Ron Vlaar,Matthew Lowton,Ashley Westwood,Fabian Delph,Yacouba Sylla,Andreas Weimann,Gabriel Agbonlahor
8232,Wojciech Szczesny,Kieran Gibbs,Bacary Sagna,Per Mertesacker,Laurent Koscielny,Tomas Rosicky,Mikel Arteta,Aaron Ramsey,Theo Walcott,Santi Cazorla,Lukas Podolski,Away Lineup,Joel Robles,Antolín Alcaraz,Emmerson Boyce,Paul Scharner,James McCarthy,Jordi Gómez,James McArthur,Roger Espinoza,Arouna Koné,Shaun Maloney
8233,Alex McCarthy,Chris Gunter,Stephen Kelly,Adrian Mariappa,Sean Morrison,Danny Guthrie,Hal Robson-Kanu,Jobi McAnuff,Garath McCleary,Jem Karacan,Pavel Pogrebnyak,Away Lineup,Joe Hart,Micah Richards,Joleon Lescott,Gaël Clichy,Kolo Touré,James Milner,Gareth Barry,David Silva,Yaya Touré,Sergio Agüero
8230,Asmir Begovic,Robert Huth,Marc Wilson,Ryan Shawcross,Ryan Shotton,Steven Nzonzi,Charlie Adam,Dean Whitehead,Jonathan Walters,Matthew Etherington,Peter Crouch,Away Lineup,Hugo Lloris,Kyle Walker,Jan Vertonghen,Michael Dawson,Steven Caulker,Clint Dempsey,Tom Huddlestone,Scott Parker,Aaron Lennon,Gareth Bale
8225,Tim Howard,Leighton Baines,Phil Jagielka,Sylvain Distin,Séamus Coleman,Darron Gibson,Kevin Mirallas,Leon Osman,Steven Pienaar,Marouane Fellaini,Victor Anichebe,Away Lineup,Jussi Jääskeläinen,Winston Reid,Joseph O'Brien,James Collins,Guy Demel,Kevin Nolan,Matthew Jarvis,Jack Collison,Mohamed Diamé,Gary O'Neil
8226,Mark Schwarzer,Brede Hangeland,Kieran Richardson,Aaron Hughes,Sascha Riether,Alexander Kacaniklic,Giorgos Karagounis,Damien Duff,Eyong Enoh,Dimitar Berbatov,Bryan Ruiz,Away Lineup,Pepe Reina,Sebastián Coates,Jamie Carragher,Andre Wisdom,Glen Johnson,Jordan Henderson,Stewart Downing,Lucas Leiva,Jonjo Shelvey,Philippe Coutinho
8228,John Ruddy,Russell Martin,Sebastien Bassong,Javier Garrido,Ryan Bennett,Bradley Johnson,Robert Snodgrass,Jonny Howson,Anthony Pilkington,Grant Holt,Wes Hoolahan,Away Lineup,Ben Foster,Steven Reid,Jonas Olsson,Goran Popov,Gareth McAuley,Claudio Yacob,James Morrison,Youssouf Mulumbu,Markus Rosenberg,Shane Long
8229,Robert Green,Armand Traore,Nedum Onuoha,José Bosingwa,Clint Hill,Jermaine Jenas,Junior Hoilett,Andros Townsend,Stéphane Mbia,Loïc Rémy,Bobby Zamora,Away Lineup,Robert Elliot,Fabricio Coloccini,Mike Williamson,Mapou Yanga-Mbiwa,Mathieu Debuchy,Yohan Cabaye,Hatem Ben Arfa,Jonás Gutiérrez,Yoan Gouffran,Cheick Tioté
8231,Simon Mignolet,Phil Bardsley,Danny Rose,John O'Shea,Carlos Cuellar,Alfred N'Diaye,Sebastian Larsson,Jack Colback,James McClean,Danny Graham,Adam Johnson,Away Lineup,Artur Boruc,Nathaniel Clyne,José Fonte,Luke Shaw,Jos Hooiveld,Morgan Schneiderlin,Steven Davis,Jay Rodríguez,Jack Cork,Adam Lallana
8227,David de Gea,Patrice Evra,Phil Jones,Rio Ferdinand,Nemanja Vidic,Chicharito,Michael Carrick,Danny Welbeck,Paul Scholes,Shinji Kagawa,Robin van Persie,Away Lineup,Gerhard Tremmel,Neil Taylor,Chico Flores,Ashley Williams,Dwight Tiendalli,Leon Britton,Pablo Hernández,Nathan Dyer,Wayne Routledge,Jonathan de Guzmán
8224,Bradley Guzan,Nathan Baker,Joe Bennett,Ron Vlaar,Eric Lichaj,Ashley Westwood,Fabian Delph,Yacouba Sylla,Andreas Weimann,Gabriel Agbonlahor,Christian Benteke,Away Lineup,Petr Cech,Ashley Cole,Gary Cahill,John Terry,César Azpilicueta,Ramires,Frank Lampard,Juan Mata,Eden Hazard,Victor Moses
