matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
14309,Darren Randolph,Aaron Cresswell,José Fonte,Winston Reid,Cheikhou Kouyaté,Pedro Obiang,Mark Noble,Manuel Lanzini,Sofiane Feghouli,Andy Carroll,Robert Snodgrass,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,Victor Moses,Eden Hazard,Pedro,Diego Costa
14304,Jordan Pickford,Billy Jones,Bryan Oviedo,John O'Shea,Lamine Koné,Sebastian Larsson,Fabio Borini,Didier Ndong,Darron Gibson,Adnan Januzaj,Jermain Defoe,Willy Caballero,Bacary Sagna,John Stones,Aleksandar Kolarov,Gaël Clichy,David Silva,Fernandinho,Yaya Touré,Raheem Sterling,Sergio Agüero,Leroy Sané
14300,Kasper Schmeichel,Danny Simpson,Wes Morgan,Robert Huth,Christian Fuchs,Danny Drinkwater,Marc Albrighton,Shinji Okazaki,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Ahmed El Mohamady,Sam Clucas,Kamil Grosicki,Alfred N'Diaye,Tom Huddlestone,Lazar Markovic,Oumar Niasse
14303,Lee Grant,Erik Pieters,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Geoff Cameron,Ramadan Sobhi,Peter Crouch,Víctor Valdés,Fábio,George Friend,Daniel Ayala,Ben Gibson,Grant Leadbitter,Adam Clayton,Marten de Roon,Gastón Ramírez,Rudy Gestede,Adama Traoré
14305,Lukasz Fabianski,Martin Olsson,Federico Fernández,Alfie Mawson,Kyle Naughton,Leroy Fer,Tom Carroll,Jack Cork,Fernando Llorente,Luciano Narsingh,Gylfi Sigurdsson,Paul Robinson,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Robert Brady,Jeff Hendrick,Joey Barton,George Boyd,Andre Gray,Sam Vokes
14307,Heurelho Gomes,Miguel Britos,Younes Kaboul,Sebastian Prödl,José Holebas,Tom Cleverley,Valon Behrami,M'Baye Niang,Etienne Capoue,Troy Deeney,Stefano Okaka,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Oriol Romeu,James Ward-Prowse,Steven Davis,Nathan Redmond,Dusan Tadic,Manolo Gabbiadini
14301,Simon Mignolet,Nathaniel Clyne,James Milner,Ragnar Klavan,Joël Matip,Georginio Wijnaldum,Adam Lallana,Emre Can,Philippe Coutinho,Roberto Firmino,Sadio Mané,Petr Cech,Héctor Bellerín,Laurent Koscielny,Nacho Monreal,Shkodran Mustafi,Alex Oxlade-Chamberlain,Alex Iwobi,Danny Welbeck,Francis Coquelin,Granit Xhaka,Olivier Giroud
14306,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Eric Dier,Kyle Walker,Victor Wanyama,Mousa Dembélé,Ben Davies,Harry Kane,Dele Alli,Christian Eriksen,Joel Robles,Leighton Baines,Ashley Williams,Séamus Coleman,Ramiro Mori,Ross Barkley,Idrissa Gueye,Morgan Schneiderlin,Gareth Barry,Tom Davies,Romelu Lukaku
14308,Ben Foster,Allan-Roméo Nyom,Jonny Evans,Gareth McAuley,Craig Dawson,James Morrison,Jake Livermore,Nacer Chadli,Chris Brunt,Darren Fletcher,Salomón Rondón,Wayne Hennessey,Joel Ward,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Luka Milivojevic,Yohan Cabaye,Andros Townsend,Wilfried Zaha,Jason David Ian Puncheon,Christian Benteke
14302,David de Gea,Phil Jones,Marcos Rojo,Luke Shaw,Antonio Valencia,Paul Pogba,Juan Mata,Anthony Martial,Wayne Rooney,Michael Carrick,Zlatan Ibrahimovic,Artur Boruc,Steve Cook,Charlie Daniels,Adam Smith,Tyrone Mings,Andrew Surman,Marc Pugh,Harry Arter,Ryan Fraser,Joshua King,Benik Afobe
14294,Kasper Schmeichel,Danny Simpson,Wes Morgan,Robert Huth,Christian Fuchs,Danny Drinkwater,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Shinji Okazaki,Simon Mignolet,Nathaniel Clyne,James Milner,Lucas Leiva,Joël Matip,Georginio Wijnaldum,Adam Lallana,Emre Can,Philippe Coutinho,Roberto Firmino,Sadio Mané
14290,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,Victor Moses,Eden Hazard,Pedro,Diego Costa,Lukasz Fabianski,Martin Olsson,Alfie Mawson,Federico Fernández,Kyle Naughton,Leroy Fer,Tom Carroll,Jack Cork,Fernando Llorente,Wayne Routledge,Gylfi Sigurdsson
14291,Wayne Hennessey,Joel Ward,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Luka Milivojevic,Yohan Cabaye,Andros Townsend,Wilfried Zaha,Jason David Ian Puncheon,Christian Benteke,Víctor Valdés,Fábio,Bernardo Espinosa,Daniel Ayala,Ben Gibson,Stewart Downing,Gastón Ramírez,Marten de Roon,Adam Forshaw,Cristhian Stuani,Álvaro Negredo
14292,Joel Robles,Leighton Baines,Ashley Williams,Séamus Coleman,Ramiro Mori,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Ross Barkley,Romelu Lukaku,Ademola Lookman,Jordan Pickford,Billy Jones,John O'Shea,Lamine Koné,Sebastian Larsson,Fabio Borini,Didier Ndong,Darron Gibson,Adnan Januzaj,Jermain Defoe,Mika
14293,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Omar Elabdellaoui,Alfred N'Diaye,Shaun Maloney,Tom Huddlestone,Ahmed El Mohamady,Dieumerci Mbokani,David Marshall,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Robert Brady,Ashley Westwood,Joey Barton,George Boyd,Andre Gray,Ashley Barnes
14299,Ben Foster,Allan-Roméo Nyom,Jonny Evans,Gareth McAuley,Craig Dawson,James Morrison,Jake Livermore,Nacer Chadli,Chris Brunt,Darren Fletcher,Salomón Rondón,Artur Boruc,Steve Cook,Charlie Daniels,Adam Smith,Tyrone Mings,Andrew Surman,Marc Pugh,Harry Arter,Ryan Fraser,Jack Wilshere,Joshua King
14298,Heurelho Gomes,Daryl Janmaat,Miguel Britos,Younes Kaboul,José Holebas,Tom Cleverley,Valon Behrami,Etienne Capoue,Troy Deeney,Mauro Zárate,M'Baye Niang,Darren Randolph,Aaron Cresswell,José Fonte,Winston Reid,Cheikhou Kouyaté,Sofiane Feghouli,Robert Snodgrass,Pedro Obiang,Mark Noble,Manuel Lanzini,Michail Antonio
14297,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Eric Dier,Kyle Walker,Victor Wanyama,Mousa Dembélé,Ben Davies,Harry Kane,Dele Alli,Christian Eriksen,Lee Grant,Phil Bardsley,Erik Pieters,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Charlie Adam,Ramadan Sobhi,Peter Crouch
14281,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Andrew Surman,Harry Arter,Jordon Ibe,Ryan Fraser,Jack Wilshere,Joshua King,Willy Caballero,Bacary Sagna,John Stones,Aleksandar Kolarov,Fernandinho,Kevin De Bruyne,David Silva,Yaya Touré,Raheem Sterling,Gabriel Jesus,Leroy Sané
14288,Lukasz Fabianski,Martin Olsson,Alfie Mawson,Federico Fernández,Kyle Naughton,Leroy Fer,Tom Carroll,Jack Cork,Fernando Llorente,Nathan Dyer,Gylfi Sigurdsson,Kasper Schmeichel,Danny Simpson,Wes Morgan,Robert Huth,Christian Fuchs,Danny Drinkwater,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Demarai Gray,Jamie Vardy
14284,David de Gea,Eric Bailly,Chris Smalling,Daley Blind,Antonio Valencia,Paul Pogba,Juan Mata,Anthony Martial,Ander Herrera,Henrikh Mkhitaryan,Zlatan Ibrahimovic,Heurelho Gomes,Miguel Britos,Younes Kaboul,Sebastian Prödl,Tom Cleverley,Craig Cathcart,José Holebas,Etienne Capoue,Troy Deeney,Mauro Zárate,M'Baye Niang
14285,Víctor Valdés,Bernardo Espinosa,Fábio,Ben Gibson,Calum Chambers,Adam Clayton,Marten de Roon,Adam Forshaw,Cristhian Stuani,Álvaro Negredo,Adama Traoré,Joel Robles,Leighton Baines,Ashley Williams,Séamus Coleman,Ramiro Mori,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Ross Barkley,Romelu Lukaku,Ademola Lookman
14286,Lee Grant,Phil Bardsley,Erik Pieters,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Charlie Adam,Ramadan Sobhi,Peter Crouch,Wayne Hennessey,Joel Ward,Patrick van Aanholt,James Tomkins,Damien Delaney,Luka Milivojevic,Andros Townsend,Wilfried Zaha,James McArthur,Jason David Ian Puncheon,Christian Benteke
14287,Vito Mannone,Jason Denayer,John O'Shea,Lamine Koné,Billy Jones,Sebastian Larsson,Didier Ndong,Darron Gibson,Jermain Defoe,Adnan Januzaj,Mika,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Oriol Romeu,Steven Davis,James Ward-Prowse,Nathan Redmond,Dusan Tadic,Manolo Gabbiadini
