matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
12494,David de Gea,Chris Smalling,Daley Blind,Antonio Valencia,Cameron Borthwick-Jackson,Juan Mata,Anthony Martial,Wayne Rooney,Jesse Lingard,Michael Carrick,Marcus Rashford,Adam Federici,Simon Francis,Steve Cook,Tommy Elphick,Charlie Daniels,Dan Gosling,Andrew Surman,Marc Pugh,Matt Ritchie,Callum Wilson,Joshua King
12485,Petr Cech,Héctor Bellerín,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Alexis Sánchez,Jack Wilshere,Mesut Özil,Santi Cazorla,Francis Coquelin,Olivier Giroud,Mark Bunn,Leandro Bacuna,Joleon Lescott,Aly Cissokho,Jordan Lyden,Kevin Toner,Idrissa Gueye,Ashley Westwood,Carlos Sánchez,Scott Sinclair,Jordan Ayew
12486,Thibaut Courtois,Branislav Ivanovic,Abdul Rahman Baba,Gary Cahill,César Azpilicueta,Cesc Fàbregas,Eden Hazard,Willian,Pedro,Nemanja Matic,Bertrand Traoré,Kasper Schmeichel,Danny Simpson,Wes Morgan,Marcin Wasilewski,Christian Fuchs,Danny Drinkwater,Demarai Gray,Andy King,N'Golo Kanté,Riyad Mahrez,Jamie Vardy
12487,Tim Howard,Leighton Baines,John Stones,Phil Jagielka,Matthew Pennington,Kevin Mirallas,James McCarthy,Gareth Barry,Tom Davies,Kieran Dowell,Romelu Lukaku,John Ruddy,Ivo Pinto,Martin Olsson,Russell Martin,Ryan Bennett,Matthew Jarvis,Graham Dorrans,Nathan Redmond,Gary O'Neil,Steven Naismith,Cameron Jerome
12488,Karl Darlow,Paul Dummett,Chancel Mbemba,Daryl Janmaat,Steven Taylor,Jack Colback,Georginio Wijnaldum,Moussa Sissoko,Cheick Tioté,Andros Townsend,Aleksandar Mitrovic,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Son Heung-Min,Ryan Mason,Erik Lamela,Eric Dier,Christian Eriksen,Harry Kane
12489,Fraser Forster,José Fonte,Cuco Martina,Virgil van Dijk,Ryan Bertrand,Oriol Romeu,Steven Davis,Sadio Mané,Dusan Tadic,Victor Wanyama,Shane Long,Julian Speroni,Joel Ward,Adrian Mariappa,Pape Souaré,Damien Delaney,Mile Jedinak,Dwight Gayle,James McArthur,Jordon Mutch,Jason David Ian Puncheon,Emmanuel Adebayor
12490,Shay Given,Erik Pieters,Ryan Shawcross,Geoff Cameron,Philipp Wollscheid,Glenn Whelan,Marko Arnautovic,Jonathan Walters,Giannelli Imbula,Bojan,Joselu,Darren Randolph,Aaron Cresswell,James Tomkins,Winston Reid,Angelo Ogbonna,Cheikhou Kouyaté,Michail Antonio,Diafra Sakho,Mark Noble,Manuel Lanzini,Andy Carroll
12491,Kristoffer Nordfeldt,Jordi Amat,Federico Fernández,Angel Rangel,Stephen Kingsley,Leon Britton,Leroy Fer,Jack Cork,André Ayew,Wayne Routledge,Jefferson Montero,Joe Hart,Bacary Sagna,Eliaquim Mangala,Gaël Clichy,Nicolás Otamendi,Fernando,Jesús Navas,Kevin De Bruyne,Fernandinho,Sergio Agüero,Kelechi Iheanacho
12492,Heurelho Gomes,Miguel Britos,Sebastian Prödl,Craig Cathcart,Nathan Aké,José Manuel Jurado,Adlène Guédioura,Almen Abdi,Ben Watson,Troy Deeney,Odion Ighalo,Jordan Pickford,John O'Shea,Lamine Koné,DeAndre Yedlin,Thomas Robson,Sebastian Larsson,Jack Rodwell,Duncan Watmore,Jeremain Lens,Rees Greenwood,Dame N'Doye
12493,Ben Foster,Jonas Olsson,Jonny Evans,Gareth McAuley,Craig Dawson,Claudio Yacob,Craig Gardner,James McClean,Darren Fletcher,Jonathan Leko,Salomón Rondón,Ádám Bogdán,Lucas Leiva,Martin Skrtel,Jon Flanagan,Brad Smith,Joe Allen,Cameron Brannagan,Kevin Stewart,Christian Benteke,Jordon Ibe,Sheyi Ojo
12483,John Ruddy,Ivo Pinto,Martin Olsson,Russell Martin,Ryan Bennett,Steven Naismith,Wes Hoolahan,Graham Dorrans,Nathan Redmond,Gary O'Neil,Dieumerci Mbokani,Heurelho Gomes,Allan-Roméo Nyom,Miguel Britos,Craig Cathcart,Ikechi Anya,Mario Suárez,José Manuel Jurado,Almen Abdi,Ben Watson,Troy Deeney,Odion Ighalo
12484,Vito Mannone,Patrick van Aanholt,Younes Kaboul,Lamine Koné,DeAndre Yedlin,Lee Cattermole,Fabio Borini,Wahbi Khazri,Yann M'Vila,Jan Kirchhoff,Jermain Defoe,Joel Robles,Leighton Baines,John Stones,Ramiro Mori,Matthew Pennington,Ross Barkley,Kevin Mirallas,Tom Cleverley,James McCarthy,Gareth Barry,Romelu Lukaku
12482,Simon Mignolet,Nathaniel Clyne,Kolo Touré,Dejan Lovren,Alberto Moreno,Philippe Coutinho,James Milner,Adam Lallana,Emre Can,Roberto Firmino,Daniel Sturridge,Asmir Begovic,Abdul Rahman Baba,John Obi Mikel,Gary Cahill,César Azpilicueta,Cesc Fàbregas,Willian,Eden Hazard,Pedro,Nemanja Matic,Bertrand Traoré
12481,Darren Randolph,Aaron Cresswell,Winston Reid,Michail Antonio,Angelo Ogbonna,Cheikhou Kouyaté,Mark Noble,Dimitri Payet,Manuel Lanzini,Andy Carroll,Diafra Sakho,David de Gea,Chris Smalling,Marcos Rojo,Daley Blind,Antonio Valencia,Juan Mata,Anthony Martial,Wayne Rooney,Ander Herrera,Morgan Schneiderlin,Marcus Rashford
12478,Simon Mignolet,Alberto Moreno,Lucas Leiva,Martin Skrtel,Jon Flanagan,Philippe Coutinho,Joe Allen,Jordon Ibe,Kevin Stewart,Sheyi Ojo,Christian Benteke,Heurelho Gomes,Miguel Britos,Sebastian Prödl,Craig Cathcart,Ikechi Anya,Mario Suárez,José Manuel Jurado,Almen Abdi,Ben Watson,Troy Deeney,Odion Ighalo
12479,Joe Hart,Bacary Sagna,Eliaquim Mangala,Gaël Clichy,Nicolás Otamendi,Fernando,Jesús Navas,Kevin De Bruyne,Fernandinho,Sergio Agüero,Kelechi Iheanacho,Petr Cech,Héctor Bellerín,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Mohamed Elneny,Alexis Sánchez,Aaron Ramsey,Alex Iwobi,Danny Welbeck,Olivier Giroud
12474,Kasper Schmeichel,Danny Simpson,Wes Morgan,Marcin Wasilewski,Christian Fuchs,Andy King,Marc Albrighton,N'Golo Kanté,Riyad Mahrez,Jamie Vardy,Shinji Okazaki,Joel Robles,Leighton Baines,John Stones,Bryan Oviedo,Matthew Pennington,Ross Barkley,Aaron Lennon,Tom Cleverley,James McCarthy,Romelu Lukaku,Oumar Niasse
12480,Hugo Lloris,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Son Heung-Min,Ryan Mason,Erik Lamela,Eric Dier,Christian Eriksen,Harry Kane,Fraser Forster,José Fonte,Cuco Martina,Virgil van Dijk,Ryan Bertrand,Jordy Clasie,Steven Davis,Sadio Mané,Dusan Tadic,Victor Wanyama,Shane Long
12475,John Ruddy,Ivo Pinto,Martin Olsson,Russell Martin,Sebastien Bassong,Jonny Howson,Robert Brady,Nathan Redmond,Gary O'Neil,Cameron Jerome,Wes Hoolahan,David de Gea,Chris Smalling,Marcos Rojo,Antonio Valencia,Matteo Darmian,Memphis Depay,Juan Mata,Jesse Lingard,Michael Carrick,Ander Herrera,Wayne Rooney
12471,Mark Bunn,Ciaran Clark,Leandro Bacuna,Joleon Lescott,Alan Hutton,Kevin Toner,Idrissa Gueye,Ashley Westwood,Carlos Sánchez,Scott Sinclair,Jordan Ayew,Karl Darlow,Paul Dummett,Jamaal Lascelles,Vurnon Anita,Chancel Mbemba,Jack Colback,Georginio Wijnaldum,Moussa Sissoko,Cheick Tioté,Andros Townsend,Papiss Cissé
12472,Artur Boruc,Simon Francis,Steve Cook,Tommy Elphick,Charlie Daniels,Andrew Surman,Harry Arter,Max-Alain Gradel,Junior Stanislas,Benik Afobe,Lewis Grabban,Ben Foster,Jonas Olsson,Jonny Evans,Gareth McAuley,Craig Dawson,Claudio Yacob,Craig Gardner,James McClean,Darren Fletcher,Jonathan Leko,Salomón Rondón
12473,Wayne Hennessey,Joel Ward,Scott Dann,Pape Souaré,Damien Delaney,Yohan Cabaye,Yannick Bolasie,Dwight Gayle,James McArthur,Jason David Ian Puncheon,Connor Wickham,Jakob Haugaard,Phil Bardsley,Erik Pieters,Ryan Shawcross,Geoff Cameron,Glenn Whelan,Marko Arnautovic,Charlie Adam,Giannelli Imbula,Xherdan Shaqiri,Peter Crouch
12476,Vito Mannone,Patrick van Aanholt,Younes Kaboul,Lamine Koné,DeAndre Yedlin,Lee Cattermole,Fabio Borini,Wahbi Khazri,Yann M'Vila,Jan Kirchhoff,Jermain Defoe,Thibaut Courtois,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,Cesc Fàbregas,Willian,Eden Hazard,John Obi Mikel,Nemanja Matic,Diego Costa
12477,Darren Randolph,Aaron Cresswell,Winston Reid,Michail Antonio,Angelo Ogbonna,Cheikhou Kouyaté,Mark Noble,Victor Moses,Dimitri Payet,Manuel Lanzini,Andy Carroll,Lukasz Fabianski,Jordi Amat,Federico Fernández,Kyle Naughton,Stephen Kingsley,Ki Sung-Yeung,Leroy Fer,Jack Cork,André Ayew,Wayne Routledge,Modou Barrow
12470,Asmir Begovic,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,Cesc Fàbregas,Willian,Pedro,John Obi Mikel,Nemanja Matic,Diego Costa,Hugo Lloris,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Son Heung-Min,Erik Lamela,Eric Dier,Mousa Dembélé,Christian Eriksen,Harry Kane
