matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
38678,Mathew Ryan,Bruno,Shane Duffy,Lewis Dunk,Bernardo,Beram Kayal,Yves Bissouma,Anthony Knockaert,Pascal Groß,Alireza Jahanbakhsh,Glenn Murray,Ederson,Kyle Walker,Vincent Kompany,Oleksandr Zinchenko,Aymeric Laporte,Ilkay Gündogan,Bernardo Silva,David Silva,Riyad Mahrez,Raheem Sterling,Sergio Agüero
38679,Tom Heaton,Matthew Lowton,Charlie Taylor,James Tarkowski,Ben Mee,Jack Cork,Jeff Hendrick,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes,Bernd Leno,Stephan Lichtsteiner,Nacho Monreal,Shkodran Mustafi,Konstantinos Mavropanos,Mohamed Elneny,Henrikh Mkhitaryan,Alex Iwobi,Mattéo Guendouzi,Joe Willock,Pierre-Emerick Aubameyang
38680,Vicente Guaita,Joel Ward,Patrick van Aanholt,Aaron Wan-Bissaka,Martin Kelly,Luka Milivojevic,Max Meyer,Andros Townsend,James McArthur,Wilfried Zaha,Michy Batshuayi,Mark Travers,Steve Cook,Adam Smith,Nathaniel Clyne,Jack Simpson,Nathan Aké,Jefferson Lerma,Jordon Ibe,Ryan Fraser,Callum Wilson,Joshua King
38681,Sergio Rico,Alfie Mawson,Maxime Le Marchand,Cyrus Christie,Joe Bryan,Ryan Sessegnon,Calum Chambers,Tom Cairney,Floyd Ayité,Frank Anguissa,Aleksandar Mitrovic,Martin Dúbravka,Paul Dummett,Fabian Schär,Jamaal Lascelles,Matt Ritchie,Isaac Hayden,Jonjo Shelvey,Mohamed Diamé,Ayoze Pérez,Christian Atsu,Salomón Rondón
38682,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Harry Maguire,Ricardo Pereira,James Maddison,Marc Albrighton,Youri Tielemans,Wilfred Ndidi,Hamza Choudhury,Jamie Vardy,Willy Caballero,Marcos Alonso,Davide Zappacosta,César Azpilicueta,David Luiz,Jorginho,Ross Barkley,Ruben Loftus-Cheek,Gonzalo Higuaín,Willian,Pedro
38683,Alisson,Virgil van Dijk,Andrew Robertson,Joël Matip,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Jordan Henderson,Sadio Mané,Mohamed Salah,Divock Origi,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Leander Dendoncker,Raúl Jiménez,Diogo Jota
38684,David de Gea,Phil Jones,Chris Smalling,Ashley Young,Diogo Dalot,Paul Pogba,Jesse Lingard,Andreas Pereira,Scott McTominay,Marcus Rashford,Mason Greenwood,Neil Etheridge,Lee Peltier,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Leandro Bacuna,Josh Murphy,Aron Gunnarsson,Nathaniel Mendez-Laing,Kenneth Zohore,Bobby De Cordova-Reid
38685,Angus Gunn,Jack Stephens,Yan Valery,Ryan Bertrand,Jan Bednarek,Oriol Romeu,James Ward-Prowse,Nathan Redmond,Pierre-Emile Højbjerg,Shane Long,Danny Ings,Joel Coleman,Tommy Smith,Terence Kongolo,Christopher Schindler,Jon Gorenc Stankovic,Jonathan Hogg,Juninho Bacuna,Aaron Mooy,Alex Pritchard,Karlan Grant,Isaac Mbenza
38686,Hugo Lloris,Toby Alderweireld,Eric Dier,Kyle Walker-Peters,Ben Davies,Erik Lamela,Moussa Sissoko,Dele Alli,Christian Eriksen,Lucas Moura,Fernando Llorente,Jordan Pickford,Michael Keane,Kurt Zouma,Lucas Digne,Yerry Mina,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Morgan Schneiderlin,Bernard,Cenk Tosun
38687,Ben Foster,Craig Cathcart,kiko Femenia,José Holebas,Christian Kabasele,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney,Lukasz Fabianski,Fabián Balbuena,Issa Diop,Ryan Fredericks,Arthur Masuaku,Felipe Anderson,Michail Antonio,Manuel Lanzini,Mark Noble,Declan Rice,Marko Arnautovic
38674,Ederson,Kyle Walker,Vincent Kompany,Oleksandr Zinchenko,Aymeric Laporte,Ilkay Gündogan,David Silva,Phil Foden,Raheem Sterling,Sergio Agüero,Bernardo Silva,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Harry Maguire,Ricardo Pereira,James Maddison,Marc Albrighton,Youri Tielemans,Wilfred Ndidi,Hamza Choudhury,Jamie Vardy
38668,Bernd Leno,Sokratis Papastathopoulos,Stephan Lichtsteiner,Nacho Monreal,Shkodran Mustafi,Henrikh Mkhitaryan,Mesut Özil,Lucas Torreira,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Mathew Ryan,Bruno,Shane Duffy,Lewis Dunk,Bernardo,Dale Stephens,Solly March,Yves Bissouma,Pascal Groß,Alireza Jahanbakhsh,Glenn Murray
38670,Neil Etheridge,Lee Peltier,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Josh Murphy,Aron Gunnarsson,Nathaniel Mendez-Laing,Víctor Camarasa,Bobby De Cordova-Reid,Danny Ward,Vicente Guaita,Joel Ward,Scott Dann,Aaron Wan-Bissaka,Martin Kelly,Luka Milivojevic,Andros Townsend,Wilfried Zaha,James McArthur,Jordan Ayew,Michy Batshuayi
38675,Martin Dúbravka,Paul Dummett,Fabian Schär,Jamaal Lascelles,Matt Ritchie,Javier Manquillo,Ki Sung-Yeung,Isaac Hayden,Ayoze Pérez,Christian Atsu,Salomón Rondón,Alisson,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Jordan Henderson,Sadio Mané,Mohamed Salah,Daniel Sturridge
38671,Kepa Arrizabalaga,Marcos Alonso,Andreas Christensen,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Gonzalo Higuaín,Eden Hazard,Pedro,Ben Foster,Adrian Mariappa,Craig Cathcart,kiko Femenia,José Holebas,Nathaniel Chalobah,Abdoulaye Doucouré,Will Hughes,Roberto Pereyra,Gerard Deulofeu,Troy Deeney
38673,Jonas Lössl,Terence Kongolo,Chris Löwe,Christopher Schindler,Erik Durm,Jonathan Hogg,Juninho Bacuna,Aaron Mooy,Alex Pritchard,Karlan Grant,Isaac Mbenza,David de Gea,Victor Lindelöf,Phil Jones,Ashley Young,Luke Shaw,Paul Pogba,Juan Mata,Nemanja Matic,Scott McTominay,Alexis Sánchez,Marcus Rashford
38672,Jordan Pickford,Michael Keane,Kurt Zouma,Lucas Digne,Séamus Coleman,Richarlison,Gylfi Sigurdsson,Idrissa Gueye,Morgan Schneiderlin,Bernard,Dominic Calvert-Lewin,Tom Heaton,Matthew Lowton,Charlie Taylor,James Tarkowski,Ben Mee,Jack Cork,Jóhann Gudmundsson,Robert Brady,Ashley Westwood,Chris Wood,Ashley Barnes
38669,Mark Travers,Steve Cook,Adam Smith,Nathaniel Clyne,Jack Simpson,Nathan Aké,Jefferson Lerma,Ryan Fraser,Joshua King,Jordon Ibe,Callum Wilson,Hugo Lloris,Kieran Trippier,Danny Rose,Toby Alderweireld,Davinson Sánchez,Son Heung-Min,Eric Dier,Moussa Sissoko,Dele Alli,Christian Eriksen,Lucas Moura
38676,Lukasz Fabianski,Fabián Balbuena,Issa Diop,Ryan Fredericks,Arthur Masuaku,Michail Antonio,Manuel Lanzini,Pedro Obiang,Mark Noble,Grady Diangana,Marko Arnautovic,Fraser Forster,Jack Stephens,Yan Valery,Ryan Bertrand,Jan Bednarek,Mohamed Elyounoussi,Stuart Armstrong,Mario Lemina,Pierre-Emile Højbjerg,Shane Long,Danny Ings
38677,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Leander Dendoncker,Raúl Jiménez,Diogo Jota,Sergio Rico,Ryan Sessegnon,Tim Ream,Maxime Le Marchand,Cyrus Christie,Joe Bryan,Calum Chambers,Tom Cairney,Frank Anguissa,Aleksandar Mitrovic,Ryan Babel
38664,David de Gea,Victor Lindelöf,Eric Bailly,Ashley Young,Luke Shaw,Paul Pogba,Juan Mata,Ander Herrera,Nemanja Matic,Romelu Lukaku,Marcus Rashford,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Gonzalo Higuaín,Willian,Eden Hazard
38658,Mathew Ryan,Bruno,Shane Duffy,Lewis Dunk,Bernardo,Dale Stephens,Beram Kayal,Pascal Groß,José Izquierdo,Florin Andone,Glenn Murray,Martin Dúbravka,Paul Dummett,Fabian Schär,Matt Ritchie,Federico Fernández,Javier Manquillo,Jonjo Shelvey,Isaac Hayden,Ayoze Pérez,Christian Atsu,Salomón Rondón
38662,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Harry Maguire,Ricardo Pereira,James Maddison,Marc Albrighton,Youri Tielemans,Wilfred Ndidi,Hamza Choudhury,Jamie Vardy,Bernd Leno,Sokratis Papastathopoulos,Ainsley Maitland-Niles,Shkodran Mustafi,Sead Kolasinac,Henrikh Mkhitaryan,Lucas Torreira,Alex Iwobi,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang
38659,Tom Heaton,Matthew Lowton,Charlie Taylor,James Tarkowski,Ben Mee,Jack Cork,Jeff Hendrick,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes,Ederson,Kyle Walker,Vincent Kompany,Oleksandr Zinchenko,Aymeric Laporte,Ilkay Gündogan,Bernardo Silva,David Silva,Raheem Sterling,Sergio Agüero,Leroy Sané
38663,Alisson,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,Naby Keïta,Jordan Henderson,Sadio Mané,Mohamed Salah,Daniel Sturridge,Jonas Lössl,Tommy Smith,Terence Kongolo,Christopher Schindler,Erik Durm,Jonathan Hogg,Juninho Bacuna,Karlan Grant,Isaac Mbenza,Jon Gorenc Stankovic,Steve Mounié
38666,Hugo Lloris,Toby Alderweireld,Davinson Sánchez,Juan Foyth,Ben Davies,Danny Rose,Eric Dier,Dele Alli,Christian Eriksen,Son Heung-Min,Lucas Moura,Lukasz Fabianski,Fabián Balbuena,Issa Diop,Ryan Fredericks,Arthur Masuaku,Felipe Anderson,Michail Antonio,Robert Snodgrass,Mark Noble,Declan Rice,Marko Arnautovic
