matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
46975,Emiliano Martínez,Kieran Tierney,Ainsley Maitland-Niles,Rob Holding,David Luiz,Dani Ceballos,Pierre-Emerick Aubameyang,Nicolas Pépé,Joe Willock,Granit Xhaka,Alexandre Lacazette,Ben Foster,Craig Dawson,Adam Masina,kiko Femenia,Christian Kabasele,Abdoulaye Doucouré,Will Hughes,Ismaïla Sarr,Roberto Pereyra,Troy Deeney,Danny Welbeck
46976,Nick Pope,James Tarkowski,Erik Pieters,Phil Bardsley,Kevin Long,Jóhann Gudmundsson,Josh Brownhill,Dwight McNeil,Ashley Westwood,Jay Rodríguez,Chris Wood,Mathew Ryan,Adam Webster,Lewis Dunk,Dan Burn,Tariq Lamptey,Dale Stephens,Solly March,Yves Bissouma,Alexis Mac Allister,Neal Maupay,Aaron Connolly
46977,Willy Caballero,Antonio Rüdiger,Kurt Zouma,César Azpilicueta,Marcos Alonso,Jorginho,Mateo Kovacic,Reece James,Christian Pulisic,Olivier Giroud,Mason Mount,Rui Patrício,Willy Boly,Conor Coady,Romain Saïss,Matt Doherty,Rúben Neves,Jonny,Leander Dendoncker,Pedro Neto,Raúl Jiménez,Diogo Jota
46978,Vicente Guaita,Joel Ward,Scott Dann,Cheikhou Kouyaté,Tyrick Mitchell,Andros Townsend,Jeffrey Schlupp,James McArthur,James McCarthy,Jordan Ayew,Wilfried Zaha,Hugo Lloris,Toby Alderweireld,Eric Dier,Sèrge Aurier,Ben Davies,Son Heung-Min,Harry Winks,Moussa Sissoko,Giovani Lo Celso,Lucas Moura,Harry Kane
46979,Jordan Pickford,Michael Keane,Lucas Digne,Séamus Coleman,Jarrad Branthwaite,Richarlison,Gylfi Sigurdsson,Theo Walcott,André Gomes,Tom Davies,Moise Kean,Aaron Ramsdale,Steve Cook,Lloyd Kelly,Adam Smith,Diego Rico,Dan Gosling,David Brooks,Jefferson Lerma,Joshua King,Dominic Solanke,Callum Wilson
46980,Kasper Schmeichel,James Justin,Wes Morgan,Jonny Evans,Youri Tielemans,Marc Albrighton,Wilfred Ndidi,Hamza Choudhury,Luke Thomas,Jamie Vardy,Kelechi Iheanacho,David de Gea,Victor Lindelöf,Harry Maguire,Aaron Wan-Bissaka,Brandon Williams,Paul Pogba,Bruno Fernandes,Marcus Rashford,Mason Greenwood,Nemanja Matic,Anthony Martial
46981,Ederson,Kyle Walker,João Cancelo,Aymeric Laporte,Eric García,Rodri,Kevin De Bruyne,David Silva,Raheem Sterling,Gabriel Jesus,Phil Foden,Tim Krul,Max Aarons,Ben Godfrey,Christoph Zimmermann,Jamal Lewis,Lukas Rupp,Todd Cantwell,Marco Stiepermann,Kenny McLean,Onel Hernández,Teemu Pukki
46982,Martin Dúbravka,Federico Fernández,Javier Manquillo,Danny Rose,Jonjo Shelvey,Matt Ritchie,Valentino Lazaro,Miguel Almirón,Nabil Bentaleb,Allan Saint-Maximin,Dwight Gayle,Alisson,Joe Gomez,Virgil van Dijk,Andrew Robertson,Neco Williams,Georginio Wijnaldum,James Milner,Naby Keïta,Alex Oxlade-Chamberlain,Takumi Minamino,Divock Origi
46983,Alex McCarthy,Kyle Walker-Peters,Ryan Bertrand,Jannik Vestergaard,Jack Stephens,Oriol Romeu,James Ward-Prowse,Nathan Redmond,Stuart Armstrong,Danny Ings,Che Adams,Dean Henderson,Chris Basham,John Egan,Jack Robinson,George Baldock,Enda Stevens,John Fleck,John Lundstram,Sander Berge,Oliver McBurnie,Billy Sharp
46984,Lukasz Fabianski,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Ben Johnson,Pablo Fornals,Mark Noble,Jarrod Bowen,Tomás Soucek,Declan Rice,Michail Antonio,Pepe Reina,Frédéric Guilbert,Matt Targett,Ezri Konsa,Tyrone Mings,Douglas Luiz,John McGinn,Jack Grealish,Conor Hourihane,Trézéguet,Mbwana Samatta
46969,David de Gea,Victor Lindelöf,Harry Maguire,Timothy Fosu-Mensah,Brandon Williams,Paul Pogba,Bruno Fernandes,Marcus Rashford,Mason Greenwood,Nemanja Matic,Anthony Martial,Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Ben Johnson,Pablo Fornals,Mark Noble,Jarrod Bowen,Tomás Soucek,Declan Rice,Michail Antonio
46968,Alisson,Joe Gomez,Virgil van Dijk,Andrew Robertson,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Naby Keïta,Roberto Firmino,Sadio Mané,Mohamed Salah,Kepa Arrizabalaga,Antonio Rüdiger,Kurt Zouma,César Azpilicueta,Marcos Alonso,Jorginho,Mateo Kovacic,Reece James,Willian,Olivier Giroud,Mason Mount
46973,Ben Foster,Craig Dawson,Adrian Mariappa,kiko Femenia,Christian Kabasele,Tom Cleverley,Abdoulaye Doucouré,Will Hughes,Ismaïla Sarr,Roberto Pereyra,Troy Deeney,Ederson,Kyle Walker,João Cancelo,Aymeric Laporte,Eric García,Rodri,Kevin De Bruyne,Bernardo Silva,Raheem Sterling,Gabriel Jesus,Phil Foden
