matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
9981,David Ospina,Héctor Bellerín,Kieran Gibbs,Per Mertesacker,Gabriel Paulista,Alexis Sánchez,Mesut Özil,Jack Wilshere,Santi Cazorla,Francis Coquelin,Theo Walcott,Boaz Myhill,Jonas Olsson,Joleon Lescott,Gareth McAuley,Craig Dawson,Claudio Yacob,James Morrison,Darren Fletcher,Chris Brunt,Saido Berahino,Callum McManaman
9982,Jed Steer,Nathan Baker,Ron Vlaar,Leandro Bacuna,Charles N'Zogbia,Tom Cleverley,Ashley Westwood,Fabian Delph,Gabriel Agbonlahor,Christian Benteke,Jack Grealish,Tom Heaton,Kieran Trippier,Michael Keane,Jason Shackell,Ben Mee,David Jones,Fredrik Ulvestad,George Boyd,Scott Arfield,Ashley Barnes,Danny Ings
9983,Petr Cech,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,Eden Hazard,Willian,John Obi Mikel,Juan Cuadrado,Nemanja Matic,Didier Drogba,Vito Mannone,Billy Jones,Patrick van Aanholt,John O'Shea,Sebastián Coates,Sebastian Larsson,Jack Rodwell,Connor Wickham,Adam Johnson,Jermain Defoe,Steven Fletcher
9984,Wayne Hennessey,Joel Ward,Brede Hangeland,Scott Dann,Pape Souaré,Mile Jedinak,James McArthur,Jason David Ian Puncheon,Yannick Bolasie,Wilfried Zaha,Marouane Chamakh,Lukasz Fabianski,Federico Fernández,Kyle Naughton,Kyle Bartley,Jazz Richards,Leon Britton,Marvin Emnes,Nathan Dyer,Jefferson Montero,Jack Cork,Bafétimbi Gomis
9985,Tim Howard,John Stones,Phil Jagielka,Séamus Coleman,Brendan Galloway,Ross Barkley,Kevin Mirallas,James McCarthy,Gareth Barry,Leon Osman,Romelu Lukaku,Hugo Lloris,Jan Vertonghen,Nabil Bentaleb,Eric Dier,Federico Fazio,Ryan Mason,Erik Lamela,Mousa Dembélé,Nacer Chadli,Christian Eriksen,Harry Kane
9986,Steve Harper,James Chester,Paul McShane,Michael Dawson,David Meyler,Robert Brady,Tom Huddlestone,Ahmed El Mohamady,Stephen Quinn,Nikica Jelavic,Dame N'Doye,Víctor Valdés,Phil Jones,Chris Smalling,Marcos Rojo,Antonio Valencia,Ángel Di María,Juan Mata,Daley Blind,Ashley Young,Ander Herrera,Wayne Rooney
9987,Kasper Schmeichel,Wes Morgan,Robert Huth,Marcin Wasilewski,Andy King,Marc Albrighton,Jeffrey Schlupp,Esteban Cambiasso,Jamie Vardy,Leonardo Ulloa,Riyad Mahrez,Alex McCarthy,Nedum Onuoha,Yun Suk-Young,Richard Dunne,Clint Hill,Matt Phillips,Joey Barton,Leroy Fer,Karl Henry,Charlie Austin,Reece Grego-Cox
9988,Joe Hart,Pablo Zabaleta,Aleksandar Kolarov,Eliaquim Mangala,Martín Demichelis,James Milner,Frank Lampard,David Silva,Fernandinho,Yaya Touré,Sergio Agüero,Kelvin Davis,Nathaniel Clyne,José Fonte,Toby Alderweireld,Ryan Bertrand,Shane Long,Steven Davis,Sadio Mané,Victor Wanyama,Filip Djuricic,Graziano Pellè
9989,Tim Krul,Fabricio Coloccini,Paul Dummett,Mike Williamson,Daryl Janmaat,Jack Colback,Moussa Sissoko,Vurnon Anita,Jonás Gutiérrez,Emmanuel Rivière,Papiss Cissé,Adrián,Aaron Cresswell,Winston Reid,Carl Jenkinson,Reece Burke,Kevin Nolan,Alexandre Song,Cheikhou Kouyaté,Enner Valencia,Stewart Downing,Carlton Cole
9990,Asmir Begovic,Erik Pieters,Muniesa,Ryan Shawcross,Geoff Cameron,Glenn Whelan,Marko Arnautovic,Steven Nzonzi,Charlie Adam,Jonathan Walters,Mame Biram Diouf,Simon Mignolet,Mamadou Sakho,Alberto Moreno,Emre Can,Martin Skrtel,Jordan Henderson,Lucas Leiva,Joe Allen,Philippe Coutinho,Steven Gerrard,Adam Lallana
9980,David Ospina,Héctor Bellerín,Kieran Gibbs,Per Mertesacker,Laurent Koscielny,Alexis Sánchez,Aaron Ramsey,Jack Wilshere,Mesut Özil,Santi Cazorla,Olivier Giroud,Costel Pantilimon,Billy Jones,Patrick van Aanholt,John O'Shea,Sebastián Coates,Lee Cattermole,Sebastian Larsson,Connor Wickham,Adam Johnson,Jermain Defoe,Danny Graham
9979,Boaz Myhill,Jonas Olsson,Joleon Lescott,Gareth McAuley,Craig Dawson,Claudio Yacob,James Morrison,Darren Fletcher,Chris Brunt,Saido Berahino,Callum McManaman,Thibaut Courtois,Branislav Ivanovic,Filipe Luís,Gary Cahill,John Terry,Cesc Fàbregas,Eden Hazard,Ruben Loftus-Cheek,Loïc Rémy,Nemanja Matic,Diego Costa
9978,Lukasz Fabianski,Neil Taylor,Federico Fernández,Ashley Williams,Jazz Richards,Jonjo Shelvey,Nathan Dyer,Jefferson Montero,Gylfi Sigurdsson,Jack Cork,Bafétimbi Gomis,Joe Hart,Pablo Zabaleta,Aleksandar Kolarov,Eliaquim Mangala,Martín Demichelis,James Milner,Frank Lampard,David Silva,Fernandinho,Yaya Touré,Sergio Agüero
9977,David de Gea,Phil Jones,Chris Smalling,Marcos Rojo,Antonio Valencia,Juan Mata,Daley Blind,Ashley Young,Ander Herrera,Marouane Fellaini,Radamel Falcao,David Ospina,Héctor Bellerín,Per Mertesacker,Laurent Koscielny,Nacho Monreal,Alexis Sánchez,Aaron Ramsey,Mesut Özil,Santi Cazorla,Francis Coquelin,Olivier Giroud
9973,Paulo Gazzaniga,Nathaniel Clyne,José Fonte,Toby Alderweireld,Ryan Bertrand,Shane Long,James Ward-Prowse,Steven Davis,Sadio Mané,Victor Wanyama,Graziano Pellè,Shay Given,Ron Vlaar,Jores Okore,Leandro Bacuna,Alan Hutton,Tom Cleverley,Ashley Westwood,Fabian Delph,Christian Benteke,Charles N'Zogbia,Jack Grealish
9970,Tom Heaton,Kieran Trippier,Michael Duff,Jason Shackell,Ben Mee,David Jones,Matthew Taylor,George Boyd,Scott Arfield,Danny Ings,Ashley Barnes,Jack Butland,Erik Pieters,Muniesa,Ryan Shawcross,Geoff Cameron,Glenn Whelan,Marko Arnautovic,Steven Nzonzi,Charlie Adam,Jonathan Walters,Mame Biram Diouf
9972,Robert Green,Nedum Onuoha,Richard Dunne,Steven Caulker,Clint Hill,Matt Phillips,Joey Barton,Karl Henry,Junior Hoilett,Leroy Fer,Charlie Austin,Tim Krul,Fabricio Coloccini,Paul Dummett,Jonás Gutiérrez,Daryl Janmaat,Jack Colback,Ryan Taylor,Moussa Sissoko,Ayoze Pérez,Rémy Cabella,Emmanuel Rivière
9974,Costel Pantilimon,Billy Jones,Patrick van Aanholt,John O'Shea,Sebastián Coates,Liam Bridcutt,Lee Cattermole,Sebastian Larsson,Danny Graham,Connor Wickham,Jermain Defoe,Kasper Schmeichel,Wes Morgan,Robert Huth,Marcin Wasilewski,Andy King,Marc Albrighton,Jeffrey Schlupp,Esteban Cambiasso,Jamie Vardy,Leonardo Ulloa,Riyad Mahrez
9975,Hugo Lloris,Danny Rose,Jan Vertonghen,Eric Dier,Federico Fazio,Nabil Bentaleb,Ryan Mason,Erik Lamela,Nacer Chadli,Christian Eriksen,Harry Kane,Steve Harper,James Chester,Paul McShane,Michael Dawson,David Meyler,Robert Brady,Tom Huddlestone,Ahmed El Mohamady,Stephen Quinn,Nikica Jelavic,Dame N'Doye
9976,Adrián,Aaron Cresswell,Winston Reid,Carl Jenkinson,James Collins,Alexandre Song,Cheikhou Kouyaté,Mark Noble,Stewart Downing,Enner Valencia,Carlton Cole,Tim Howard,John Stones,Phil Jagielka,Séamus Coleman,Brendan Galloway,Ross Barkley,James McCarthy,Gareth Barry,Leon Osman,Aaron Lennon,Romelu Lukaku
9971,Simon Mignolet,Dejan Lovren,Emre Can,Martin Skrtel,Steven Gerrard,Jordan Henderson,Alberto Moreno,Jordon Ibe,Philippe Coutinho,Adam Lallana,Raheem Sterling,Wayne Hennessey,Joel Ward,Scott Dann,Pape Souaré,Martin Kelly,Lee Chung-Yong,Joe Ledley,James McArthur,Jason David Ian Puncheon,Yannick Bolasie,Marouane Chamakh
