matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
59266,Bernd Leno,Kieran Tierney,Gabriel Magalhães,Rob Holding,Calum Chambers,Thomas Partey,Emile Smith Rowe,Martin Ødegaard,Nicolas Pépé,Granit Xhaka,Pierre-Emerick Aubameyang,Robert Sánchez,Ben White,Adam Webster,Lewis Dunk,Dan Burn,Jakub Moder,Yves Bissouma,Pascal Groß,Alexis Mac Allister,Leandro Trossard,Alireza Jahanbakhsh
59267,Emiliano Martínez,Matt Targett,Ezri Konsa,Tyrone Mings,Kortney Hause,John McGinn,Jack Grealish,Bertrand Traoré,Marvelous Nakamba,Anwar El Ghazi,Ollie Watkins,Édouard Mendy,Antonio Rüdiger,Thiago Silva,Reece James,Jorginho,Ben Chilwell,Mateo Kovacic,César Azpilicueta,Christian Pulisic,Timo Werner,Mason Mount
59268,Marek Rodák,Kenny Tete,Tosin Adarabioyo,Tim Ream,Bobby De Cordova-Reid,Joe Bryan,Josh Onomah,Frank Anguissa,Ivan Cavaleiro,Ademola Lookman,Fábio Carvalho,Martin Dúbravka,Paul Dummett,Matt Ritchie,Emil Krafth,Federico Fernández,Jacob Murphy,Jonjo Shelvey,Joe Willock,Sean Longstaff,Allan Saint-Maximin,Miguel Almirón
59269,Kiko Casilla,Luke Ayling,Liam Cooper,Gaetano Berardi,Ezgjan Alioski,Raphinha,Stuart Dallas,Kalvin Phillips,Rodrigo,Pablo Hernández,Jack Harrison,Sam Johnstone,Darnell Furlong,Conor Townsend,Dara O'Shea,Kyle Bartley,Semi Ajayi,Conor Gallagher,Ainsley Maitland-Niles,Okay Yokuslu,Callum Robinson,Matt Phillips
59270,Kasper Schmeichel,Wesley Fofana,Çaglar Söyüncü,Timothy Castagne,Luke Thomas,Youri Tielemans,James Maddison,Marc Albrighton,Wilfred Ndidi,Jamie Vardy,Kelechi Iheanacho,Hugo Lloris,Matt Doherty,Sergio Reguilón,Toby Alderweireld,Davinson Sánchez,Pierre-Emile Højbjerg,Son Heung-Min,Harry Winks,Dele Alli,Steven Bergwijn,Harry Kane
59271,Alisson,Andrew Robertson,Rhys Williams,Nathaniel Phillips,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Thiago,Roberto Firmino,Sadio Mané,Mohamed Salah,Vicente Guaita,Joel Ward,James Tomkins,Gary Cahill,Tyrick Mitchell,Cheikhou Kouyaté,James McCarthy,Jairo Riedewald,Jordan Ayew,Andros Townsend,Wilfried Zaha
59272,Ederson,Kyle Walker,Rúben Dias,John Stones,Oleksandr Zinchenko,Kevin De Bruyne,Fernandinho,Phil Foden,Raheem Sterling,Gabriel Jesus,Riyad Mahrez,Jordan Pickford,Mason Holgate,Ben Godfrey,Michael Keane,Lucas Digne,Allan,Gylfi Sigurdsson,Abdoulaye Doucouré,Tom Davies,Richarlison,Dominic Calvert-Lewin
59273,Aaron Ramsdale,Chris Basham,John Egan,Jack Robinson,George Baldock,Enda Stevens,John Fleck,Oliver Norwood,David McGoldrick,Ben Osborn,Daniel Jebbison,Will Norris,Matthew Lowton,Charlie Taylor,James Tarkowski,Jimmy Dunne,Jack Cork,Jóhann Gudmundsson,Dwight McNeil,Ashley Westwood,Josh Brownhill,Chris Wood
59274,Lukasz Fabianski,Aaron Cresswell,Vladimír Coufal,Craig Dawson,Angelo Ogbonna,Pablo Fornals,Jesse Lingard,Jarrod Bowen,Tomás Soucek,Declan Rice,Michail Antonio,Alex McCarthy,Kyle Walker-Peters,Jannik Vestergaard,Mohammed Salisu,Jan Bednarek,James Ward-Prowse,Nathan Redmond,Stuart Armstrong,Ibrahima Diallo,Danny Ings,Takumi Minamino
59275,Rui Patrício,Willy Boly,Conor Coady,Romain Saïss,Rayan Aït-Nouri,Rúben Neves,Nélson Semedo,João Moutinho,Leander Dendoncker,Fábio Silva,Adama Traoré,Dean Henderson,Eric Bailly,Alex Telles,Brandon Williams,Axel Tuanzebe,Juan Mata,Dan James,Nemanja Matic,Donny van de Beek,Anthony Elanga,Amad Diallo
59260,Jordan Pickford,Ben Godfrey,Michael Keane,Lucas Digne,Yerry Mina,Allan,Gylfi Sigurdsson,Abdoulaye Doucouré,Séamus Coleman,Richarlison,Dominic Calvert-Lewin,John Ruddy,Willy Boly,Conor Coady,Maximilian Kilman,Rayan Aït-Nouri,Rúben Neves,Nélson Semedo,João Moutinho,Morgan Gibbs-White,Fábio Silva,Adama Traoré
59262,Martin Dúbravka,Paul Dummett,Matt Ritchie,Emil Krafth,Federico Fernández,Jacob Murphy,Jonjo Shelvey,Miguel Almirón,Joe Willock,Joelinton,Allan Saint-Maximin,Aaron Ramsdale,Chris Basham,John Egan,Jack Robinson,Enda Stevens,John Fleck,Oliver Norwood,Jayden Bogle,David McGoldrick,Ben Osborn,Daniel Jebbison
59264,Hugo Lloris,Sergio Reguilón,Toby Alderweireld,Eric Dier,Japhet Tanganga,Pierre-Emile Højbjerg,Son Heung-Min,Harry Winks,Dele Alli,Steven Bergwijn,Harry Kane,Emiliano Martínez,Matt Targett,Ezri Konsa,Tyrone Mings,Kortney Hause,John McGinn,Jack Grealish,Bertrand Traoré,Marvelous Nakamba,Anwar El Ghazi,Ollie Watkins
59259,Vicente Guaita,Joel Ward,James Tomkins,Gary Cahill,Tyrick Mitchell,Cheikhou Kouyaté,Jeffrey Schlupp,James McCarthy,Andros Townsend,Wilfried Zaha,Christian Benteke,Bernd Leno,Kieran Tierney,Gabriel Magalhães,Rob Holding,Calum Chambers,Thomas Partey,Bukayo Saka,Emile Smith Rowe,Nicolas Pépé,Mohamed Elneny,Pierre-Emerick Aubameyang
59257,Will Norris,Matthew Lowton,Charlie Taylor,James Tarkowski,Ben Mee,Jack Cork,Jóhann Gudmundsson,Dwight McNeil,Ashley Westwood,Josh Brownhill,Chris Wood,Alisson,Andrew Robertson,Rhys Williams,Nathaniel Phillips,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Thiago,Roberto Firmino,Sadio Mané,Mohamed Salah
59265,Sam Johnstone,Darnell Furlong,Conor Townsend,Kyle Bartley,Semi Ajayi,Matt Phillips,Conor Gallagher,Ainsley Maitland-Niles,Okay Yokuslu,Hal Robson-Kanu,Matheus Pereira,Darren Randolph,Aaron Cresswell,Vladimír Coufal,Craig Dawson,Angelo Ogbonna,Pablo Fornals,Jesse Lingard,Saïd Benrahma,Tomás Soucek,Declan Rice,Michail Antonio
59261,David de Gea,Victor Lindelöf,Luke Shaw,Aaron Wan-Bissaka,Axel Tuanzebe,Paul Pogba,Bruno Fernandes,Mason Greenwood,Fred,Scott McTominay,Edinson Cavani,Alphonse Aréola,Tosin Adarabioyo,Tim Ream,Mario Lemina,Harrison Reed,Bobby De Cordova-Reid,Joe Bryan,Frank Anguissa,Ivan Cavaleiro,Ademola Lookman,Fábio Carvalho
59263,Alex McCarthy,Kyle Walker-Peters,Jannik Vestergaard,Jack Stephens,Mohammed Salisu,James Ward-Prowse,Stuart Armstrong,Moussa Djenepo,Theo Walcott,Che Adams,Nathan Tella,Kiko Casilla,Luke Ayling,Liam Cooper,Diego Llorente,Ezgjan Alioski,Stuart Dallas,Rodrigo,Kalvin Phillips,Patrick Bamford,Raphinha,Jack Harrison
59256,Robert Sánchez,Ben White,Adam Webster,Dan Burn,Jakub Moder,Yves Bissouma,Pascal Groß,Alireza Jahanbakhsh,Steven Alzate,Alexis Mac Allister,Danny Welbeck,Ederson,Rúben Dias,John Stones,João Cancelo,Oleksandr Zinchenko,Ilkay Gündogan,Rodri,Bernardo Silva,Ferran Torres,Riyad Mahrez,Phil Foden
59258,Édouard Mendy,Antonio Rüdiger,Thiago Silva,Reece James,Ben Chilwell,Jorginho,N'Golo Kanté,César Azpilicueta,Christian Pulisic,Timo Werner,Mason Mount,Kasper Schmeichel,Wesley Fofana,Çaglar Söyüncü,Timothy Castagne,Youri Tielemans,Marc Albrighton,Wilfred Ndidi,Luke Thomas,Jamie Vardy,James Maddison,Ayoze Pérez
59250,Sam Johnstone,Darnell Furlong,Conor Townsend,Kyle Bartley,Semi Ajayi,Matt Phillips,Grady Diangana,Conor Gallagher,Okay Yokuslu,Hal Robson-Kanu,Matheus Pereira,Alisson,Andrew Robertson,Rhys Williams,Nathaniel Phillips,Trent Alexander-Arnold,Fabinho,Thiago,Curtis Jones,Roberto Firmino,Sadio Mané,Mohamed Salah
59248,Jordan Pickford,Mason Holgate,Ben Godfrey,Michael Keane,Lucas Digne,Allan,Richarlison,Abdoulaye Doucouré,James Rodríguez,Séamus Coleman,Dominic Calvert-Lewin,Aaron Ramsdale,Chris Basham,John Egan,Jack Robinson,George Baldock,Enda Stevens,John Fleck,Oliver Norwood,David McGoldrick,Ben Osborn,Daniel Jebbison
