matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
22712,Nick Pope,Matthew Lowton,James Tarkowski,Stephen Ward,Kevin Long,Jack Cork,Jóhann Gudmundsson,Ashley Westwood,Aaron Lennon,Chris Wood,Jeff Hendrick,Away Lineup,Asmir Begovic,Steve Cook,Nathan Aké,Tyrone Mings,Andrew Surman,Charlie Daniels,Emerson Hyndman,Ryan Fraser,Lys Mousset,Jordon Ibe
22713,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Yohan Cabaye,Ruben Loftus-Cheek,James McArthur,Andros Townsend,Wilfried Zaha,Away Lineup,Ben Foster,Allan-Roméo Nyom,Kieran Gibbs,Craig Dawson,Ahmed Hegazy,Jake Livermore,Chris Brunt,James McClean,Jay Rodríguez,Salomón Rondón
22714,Jonas Lössl,Terence Kongolo,Chris Löwe,Zanka,Christopher Schindler,Florent Hadergjonaj,Jonathan Hogg,Aaron Mooy,Tom Ince,Steve Mounié,Alex Pritchard,Away Lineup,David Ospina,Héctor Bellerín,Rob Holding,Shkodran Mustafi,Sead Kolasinac,Aaron Ramsey,Alex Iwobi,Granit Xhaka,Henrikh Mkhitaryan,Alexandre Lacazette
22715,Loris Karius,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,Sadio Mané,Mohamed Salah,Jordan Henderson,Roberto Firmino,Dominic Solanke,Away Lineup,Mathew Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Ezequiel Schelotto,Dale Stephens,Beram Kayal,Solly March,Anthony Knockaert,Davy Pröpper
22716,Sergio Romero,Eric Bailly,Marcos Rojo,Ashley Young,Matteo Darmian,Michael Carrick,Daley Blind,Scott McTominay,Alexis Sánchez,Juan Mata,Marcus Rashford,Away Lineup,Heurelho Gomes,Daryl Janmaat,Craig Cathcart,José Holebas,Christian Kabasele,Gerard Deulofeu,Richarlison,Abdoulaye Doucouré,Will Hughes,Roberto Pereyra
22717,Martin Dúbravka,Paul Dummett,Jamaal Lascelles,Florian Lejeune,DeAndre Yedlin,Jacob Murphy,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Ayoze Pérez,Dwight Gayle,Away Lineup,Thibaut Courtois,Andreas Christensen,Gary Cahill,César Azpilicueta,N'Golo Kanté,Ross Barkley,Tiemoué Bakayoko,Victor Moses,Emerson,Eden Hazard
22718,Alex McCarthy,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Wesley Hoedt,Oriol Romeu,Dusan Tadic,Nathan Redmond,Pierre-Emile Højbjerg,Charlie Austin,Away Lineup,Claudio Bravo,Danilo,John Stones,Aymeric Laporte,Fabian Delph,Ilkay Gündogan,Kevin De Bruyne,Fernandinho,Raheem Sterling,Leroy Sané
22719,Lukasz Fabianski,Martin Olsson,Mike van der Hoorn,Alfie Mawson,Angel Rangel,Nathan Dyer,Tom Carroll,Wayne Routledge,Andy King,André Ayew,Jordan Ayew,Away Lineup,Jack Butland,Moritz Bauer,Erik Pieters,Kurt Zouma,Ryan Shawcross,Joe Allen,Papa Ndiaye,Lasse Sørensen,Mame Biram Diouf,Xherdan Shaqiri
22720,Hugo Lloris,Danny Rose,Toby Alderweireld,Eric Dier,Kyle Walker-Peters,Erik Lamela,Victor Wanyama,Moussa Sissoko,Christian Eriksen,Lucas Moura,Harry Kane,Away Lineup,Eldin Jakupovic,Danny Simpson,Wes Morgan,Harry Maguire,Christian Fuchs,Demarai Gray,Kelechi Iheanacho,Vicente Iborra,Adrien Silva,Riyad Mahrez
22721,Adrián,Aaron Cresswell,Angelo Ogbonna,Declan Rice,Pablo Zabaleta,Cheikhou Kouyaté,Mark Noble,Arthur Masuaku,Marko Arnautovic,Manuel Lanzini,João Mário,Away Lineup,Jordan Pickford,Michael Keane,Phil Jagielka,Ramiro Mori,Leighton Baines,Idrissa Gueye,Morgan Schneiderlin,Séamus Coleman,Tom Davies,Cenk Tosun
22651,Adrián,Aaron Cresswell,Angelo Ogbonna,Declan Rice,Pablo Zabaleta,Cheikhou Kouyaté,Mark Noble,Arthur Masuaku,Marko Arnautovic,Manuel Lanzini,João Mário,Away Lineup,David de Gea,Victor Lindelöf,Phil Jones,Chris Smalling,Luke Shaw,Antonio Valencia,Paul Pogba,Ander Herrera,Scott McTominay,Alexis Sánchez
22685,Willy Caballero,Antonio Rüdiger,Andreas Christensen,César Azpilicueta,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,Davide Zappacosta,Willian,Pedro,Álvaro Morata,Away Lineup,Jonas Lössl,Tommy Smith,Terence Kongolo,Chris Löwe,Zanka,Christopher Schindler,Jonathan Hogg,Philip Billing,Aaron Mooy,Rajiv van La Parra
22645,Eldin Jakupovic,Danny Simpson,Wes Morgan,Harry Maguire,Christian Fuchs,Adrien Silva,Riyad Mahrez,Fousseni Diabaté,Hamza Choudhury,Jamie Vardy,Kelechi Iheanacho,Away Lineup,Petr Cech,Ainsley Maitland-Niles,Rob Holding,Konstantinos Mavropanos,Sead Kolasinac,Aaron Ramsey,Alex Iwobi,Granit Xhaka,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang
22647,Claudio Bravo,Danilo,Vincent Kompany,Oleksandr Zinchenko,Aymeric Laporte,Ilkay Gündogan,Fernandinho,Yaya Touré,Gabriel Jesus,Leroy Sané,Bernardo Silva,Away Lineup,Mathew Ryan,Bruno,Gaëtan Bong,Shane Duffy,Lewis Dunk,Dale Stephens,Anthony Knockaert,Pascal Groß,José Izquierdo,Davy Pröpper
22650,Hugo Lloris,Kieran Trippier,Jan Vertonghen,Davinson Sánchez,Ben Davies,Son Heung-Min,Victor Wanyama,Moussa Sissoko,Dele Alli,Christian Eriksen,Harry Kane,Away Lineup,Martin Dúbravka,Paul Dummett,Jamaal Lascelles,Florian Lejeune,DeAndre Yedlin,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez
22649,Lukasz Fabianski,Federico Fernández,Alfie Mawson,Kyle Naughton,Martin Olsson,Ki Sung-Yeung,Connor Roberts,Andy King,André Ayew,Sam Clucas,Jordan Ayew,Away Lineup,Alex McCarthy,Jack Stephens,Wesley Hoedt,Jan Bednarek,Cédric Soares,Ryan Bertrand,Oriol Romeu,Pierre-Emile Højbjerg,Charlie Austin,Nathan Redmond
22702,Petr Cech,Héctor Bellerín,Calum Chambers,Konstantinos Mavropanos,Sead Kolasinac,Jack Wilshere,Alex Iwobi,Granit Xhaka,Henrikh Mkhitaryan,Alexandre Lacazette,Pierre-Emerick Aubameyang,Away Lineup,Nick Pope,Matthew Lowton,James Tarkowski,Stephen Ward,Kevin Long,Jack Cork,Jóhann Gudmundsson,Ashley Westwood,Aaron Lennon,Ashley Barnes
22705,Thibaut Courtois,Antonio Rüdiger,Gary Cahill,César Azpilicueta,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,Tiemoué Bakayoko,Victor Moses,Eden Hazard,Olivier Giroud,Away Lineup,Loris Karius,Nathaniel Clyne,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Georginio Wijnaldum,James Milner,Trent Alexander-Arnold,Roberto Firmino,Sadio Mané
22706,Jordan Pickford,Leighton Baines,Michael Keane,Phil Jagielka,Séamus Coleman,Yannick Bolasie,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Nikola Vlasic,Cenk Tosun,Away Lineup,Alex McCarthy,Maya Yoshida,Wesley Hoedt,Jan Bednarek,Cédric Soares,Ryan Bertrand,Oriol Romeu,Pierre-Emile Højbjerg,Charlie Austin,Dusan Tadic
22708,Ederson,Kyle Walker,John Stones,Fabian Delph,Nicolás Otamendi,Kevin De Bruyne,David Silva,Fernandinho,Raheem Sterling,Gabriel Jesus,Leroy Sané,Away Lineup,Jonas Lössl,Tommy Smith,Terence Kongolo,Chris Löwe,Zanka,Christopher Schindler,Jonathan Hogg,Aaron Mooy,Florent Hadergjonaj,Steve Mounié
22704,Mathew Ryan,Bruno,Gaëtan Bong,Shane Duffy,Lewis Dunk,Dale Stephens,Pascal Groß,Davy Pröpper,Anthony Knockaert,Glenn Murray,José Izquierdo,Away Lineup,David de Gea,Chris Smalling,Marcos Rojo,Ashley Young,Matteo Darmian,Paul Pogba,Marouane Fellaini,Nemanja Matic,Juan Mata,Anthony Martial
22709,Jack Butland,Erik Pieters,Kurt Zouma,Glen Johnson,Ryan Shawcross,Moritz Bauer,Joe Allen,Papa Ndiaye,Xherdan Shaqiri,Mame Biram Diouf,Peter Crouch,Away Lineup,Wayne Hennessey,Joel Ward,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Luka Milivojevic,Yohan Cabaye,Ruben Loftus-Cheek,James McArthur,Andros Townsend
22703,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Lewis Cook,Andrew Surman,Charlie Daniels,Ryan Fraser,Marc Pugh,Callum Wilson,Joshua King,Away Lineup,Lukasz Fabianski,Mike van der Hoorn,Federico Fernández,Alfie Mawson,Martin Olsson,Ki Sung-Yeung,Tom Carroll,Connor Roberts,André Ayew,Nathan Dyer
22707,Ben Hamer,Wes Morgan,Harry Maguire,Christian Fuchs,Yohan Benalouane,Vicente Iborra,Riyad Mahrez,Fousseni Diabaté,Hamza Choudhury,Jamie Vardy,Adrien Silva,Away Lineup,Adrián,Aaron Cresswell,Angelo Ogbonna,Declan Rice,Pablo Zabaleta,Cheikhou Kouyaté,Mark Noble,Arthur Masuaku,Marko Arnautovic,Manuel Lanzini
22710,Orestis Karnezis,Daryl Janmaat,Craig Cathcart,José Holebas,Christian Kabasele,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Troy Deeney,Andre Gray,Away Lineup,Martin Dúbravka,Paul Dummett,Jamaal Lascelles,Javier Manquillo,Florian Lejeune,Jacob Murphy,Jonjo Shelvey,Mohamed Diamé,Kenedy,Dwight Gayle
