matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
9601,David Marshall,Fábio,Steven Caulker,Ben Turner,Declan John,Peter Whittingham,Aron Gunnarsson,Jordon Mutch,Mats Dæhli,Craig Bellamy,Fraizer Campbell,Mark Schwarzer,Branislav Ivanovic,Ashley Cole,César Azpilicueta,Tomás Kalas,Oscar,Eden Hazard,John Obi Mikel,Mohamed Salah,Nemanja Matic,Fernando Torres
9602,David Stockdale,John Heitinga,Fernando Amorebieta,Brede Hangeland,Elsad Zverotic,Steve Sidwell,Scott Parker,Alexander Kacaniklic,Kieran Richardson,Cauley Woodrow,Hugo Rodallega,Wayne Hennessey,Joel Ward,Adrian Mariappa,Scott Dann,Damien Delaney,Yannick Bolasie,Tom Ince,Mile Jedinak,Joe Ledley,Dwight Gayle,Marouane Chamakh
9603,Allan McGregor,Alex Bruce,Curtis Davies,Paul McShane,Maynor Figueroa,Jake Livermore,Tom Huddlestone,Ahmed El Mohamady,Stephen Quinn,Nikica Jelavic,Sone Aluko,Tim Howard,Leighton Baines,Phil Jagielka,Sylvain Distin,Séamus Coleman,Aiden McGeady,James McCarthy,Gareth Barry,Leon Osman,Steven Naismith,Romelu Lukaku
9604,Simon Mignolet,Glen Johnson,Daniel Agger,Martin Skrtel,Jon Flanagan,Steven Gerrard,Jordan Henderson,Joe Allen,Raheem Sterling,Luis Suárez,Daniel Sturridge,Tim Krul,Fabricio Coloccini,Mike Williamson,Massadio Haïdara,Mathieu Debuchy,Steven Taylor,Moussa Sissoko,Vurnon Anita,Yoan Gouffran,Cheick Tioté,Shola Ameobi
9605,Joe Hart,Vincent Kompany,Pablo Zabaleta,Aleksandar Kolarov,Martín Demichelis,Samir Nasri,Javi García,David Silva,Yaya Touré,Edin Dzeko,Sergio Agüero,Adrián,George McCartney,James Tomkins,Winston Reid,Joseph O'Brien,Kevin Nolan,Stewart Downing,Matthew Taylor,Mark Noble,Mohamed Diamé,Andy Carroll
9606,John Ruddy,Martin Olsson,Russell Martin,Michael Turner,Ryan Bennett,Bradley Johnson,Robert Snodgrass,Nathan Redmond,Alexander Tettey,Jonny Howson,Johan Elmander,Lukasz Fabianski,Kieran Gibbs,Bacary Sagna,Laurent Koscielny,Carl Jenkinson,Tomas Rosicky,Aaron Ramsey,Mikel Arteta,Lukas Podolski,Mesut Özil,Olivier Giroud
9607,Artur Boruc,Nathaniel Clyne,Dejan Lovren,José Fonte,Luke Shaw,Morgan Schneiderlin,Victor Wanyama,Jack Cork,Rickie Lambert,Steven Davis,Adam Lallana,David de Gea,Patrice Evra,Rio Ferdinand,Chris Smalling,Nemanja Vidic,Juan Mata,Adnan Januzaj,Danny Welbeck,Darren Fletcher,Shinji Kagawa,Robin van Persie
9608,Vito Mannone,Phil Bardsley,Wes Brown,John O'Shea,Santiago Vergini,Liam Bridcutt,Sebastian Larsson,Adam Johnson,Jack Colback,Fabio Borini,Connor Wickham,Gerhard Tremmel,Jordi Amat,Neil Taylor,Dwight Tiendalli,Kyle Bartley,Marvin Emnes,Jonjo Shelvey,Nathan Dyer,Wayne Routledge,Jay Fulton,Wilfried Bony
9609,Hugo Lloris,Danny Rose,Vlad Chiriches,Kyle Naughton,Michael Dawson,Paulinho,Gylfi Sigurdsson,Christian Eriksen,Sandro,Harry Kane,Emmanuel Adebayor,Bradley Guzan,Nathan Baker,Ron Vlaar,Ryan Bertrand,Matthew Lowton,Leandro Bacuna,Andreas Weimann,Ashley Westwood,Fabian Delph,Gabriel Agbonlahor,Jordan Bowery
9610,Ben Foster,Jonas Olsson,Chris Brunt,Gareth McAuley,Craig Dawson,James Morrison,Graham Dorrans,Morgan Amalfitano,Youssouf Mulumbu,Stéphane Sessegnon,Saido Berahino,Thomas Sørensen,Muniesa,Marc Wilson,Ryan Shawcross,Geoff Cameron,Glenn Whelan,Stephen Ireland,Peter Odemwingie,Marko Arnautovic,Steven Nzonzi,Jonathan Walters
9599,Joe Hart,Vincent Kompany,Pablo Zabaleta,Aleksandar Kolarov,Martín Demichelis,James Milner,Samir Nasri,Javi García,David Silva,Yaya Touré,Edin Dzeko,Bradley Guzan,Nathan Baker,Ron Vlaar,Ciaran Clark,Ryan Bertrand,Matthew Lowton,Karim El Ahmadi,Ashley Westwood,Fabian Delph,Andreas Weimann,Jordan Bowery
9600,Vito Mannone,Wes Brown,John O'Shea,Santiago Vergini,Marcos Alonso,Lee Cattermole,Sebastian Larsson,Jack Colback,Connor Wickham,Adam Johnson,Fabio Borini,Ben Foster,Steven Reid,Chris Brunt,Diego Lugano,Gareth McAuley,Claudio Yacob,James Morrison,Graham Dorrans,Saido Berahino,Stéphane Sessegnon,Victor Anichebe
9598,David de Gea,Phil Jones,Chris Smalling,Antonio Valencia,Alexander Büttner,Adnan Januzaj,Michael Carrick,Shinji Kagawa,Marouane Fellaini,Tom Lawrence,James Wilson,Eldin Jakupovic,Maynor Figueroa,Alex Bruce,Curtis Davies,Liam Rosenior,David Meyler,George Boyd,Ahmed El Mohamady,Stephen Quinn,Shane Long,Robert Koren
9597,Julian Speroni,Joel Ward,Adrian Mariappa,Scott Dann,Damien Delaney,Kagisho Dikgacoi,Yannick Bolasie,Mile Jedinak,Jason David Ian Puncheon,Joe Ledley,Marouane Chamakh,Simon Mignolet,Glen Johnson,Mamadou Sakho,Martin Skrtel,Jon Flanagan,Steven Gerrard,Lucas Leiva,Joe Allen,Raheem Sterling,Luis Suárez,Daniel Sturridge
