matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
66712,Aaron Ramsdale,Gabriel Magalhães,Rob Holding,Cédric Soares,Nuno Tavares,Bukayo Saka,Martin Ødegaard,Gabriel Martinelli,Mohamed Elneny,Granit Xhaka,Eddie Nketiah,Asmir Begovic,Jonjoe Kenny,Mason Holgate,Michael Keane,Alex Iwobi,Jarrad Branthwaite,Demarai Gray,Abdoulaye Doucouré,Dele Alli,Tom Davies,Dominic Calvert-Lewin
66713,David Raya,Rico Henry,Pontus Jansson,Kristoffer Ajer,Mads Bech Sørensen,Mathias Jensen,Christian Eriksen,Vitaly Janelt,Yoane Wissa,Ivan Toney,Bryan Mbeumo,Illan Meslier,Junior Firpo,Robin Koch,Liam Cooper,Diego Llorente,Raphinha,Jack Harrison,Kalvin Phillips,Sam Greenwood,Rodrigo,Joe Gelhardt
66714,Robert Sánchez,Marc Cucurella,Adam Webster,Lewis Dunk,Joël Veltman,Solly March,Yves Bissouma,Alexis Mac Allister,Pascal Groß,Moisés Caicedo,Danny Welbeck,Lukasz Fabianski,Aaron Cresswell,Kurt Zouma,Vladimír Coufal,Craig Dawson,Pablo Fornals,Manuel Lanzini,Jarrod Bowen,Tomás Soucek,Declan Rice,Michail Antonio
66715,Nick Pope,Charlie Taylor,James Tarkowski,Nathan Collins,Kevin Long,Jack Cork,Josh Brownhill,Dwight McNeil,Connor Roberts,Ashley Barnes,Maxwel Cornet,Martin Dúbravka,Kieran Trippier,Jamaal Lascelles,Matt Targett,Dan Burn,Joelinton,Sean Longstaff,Bruno Guimarães,Callum Wilson,Allan Saint-Maximin,Miguel Almirón
66716,Édouard Mendy,Antonio Rüdiger,Thiago Silva,César Azpilicueta,N'Golo Kanté,Kenedy,Saúl Ñíguez,Reece James,Mason Mount,Hakim Ziyech,Kai Havertz,Daniel Bachmann,Hassane Kamara,kiko Femenia,Samir,Christian Kabasele,Tom Cleverley,Moussa Sissoko,Edo Kayembe,Joshua King,João Pedro,Ken Sema
66717,Vicente Guaita,Nathaniel Clyne,Joel Ward,Tyrick Mitchell,Joachim Andersen,Jeffrey Schlupp,Will Hughes,Conor Gallagher,Wilfried Zaha,Odsonne Édouard,Jesurun Rak-Sakyi,David de Gea,Victor Lindelöf,Harry Maguire,Diogo Dalot,Alex Telles,Bruno Fernandes,Fred,Anthony Elanga,Scott McTominay,Hannibal Mejbri,Edinson Cavani
66718,Kasper Schmeichel,James Justin,Wesley Fofana,Jonny Evans,Timothy Castagne,Harvey Barnes,Youri Tielemans,James Maddison,Kiernan Dewsbury-Hall,Nampalys Mendy,Jamie Vardy,Alex McCarthy,Kyle Walker-Peters,Lyanco,Jack Stephens,Mohammed Salisu,Oriol Romeu,James Ward-Prowse,Stuart Armstrong,Mohamed Elyounoussi,Adam Armstrong,Nathan Redmond
66719,Alisson,Ibrahima Konaté,Andrew Robertson,Joël Matip,Trent Alexander-Arnold,Thiago,Naby Keïta,Jordan Henderson,Sadio Mané,Diogo Jota,Luis Díaz,José Sá,Willy Boly,Conor Coady,Toti,Rayan Aït-Nouri,Rúben Neves,Jonny,João Moutinho,Leander Dendoncker,Pedro Neto,Raúl Jiménez
66720,Ederson,John Stones,João Cancelo,Aymeric Laporte,Fernandinho,Rodri,Kevin De Bruyne,Bernardo Silva,Gabriel Jesus,Riyad Mahrez,Phil Foden,Robin Olsen,Matty Cash,Tyrone Mings,Calum Chambers,Lucas Digne,Douglas Luiz,John McGinn,Emiliano Buendía,Philippe Coutinho,Jacob Ramsey,Ollie Watkins
66721,Tim Krul,Max Aarons,Sam Byram,Grant Hanley,Jacob Sørensen,Dimitris Giannoulis,Milot Rashica,Kieran Dowell,Mathias Normann,Pierre Lees-Melou,Teemu Pukki,Hugo Lloris,Davinson Sánchez,Eric Dier,Ben Davies,Pierre-Emile Højbjerg,Emerson Royal,Ryan Sessegnon,Rodrigo Bentancur,Son Heung-Min,Harry Kane,Dejan Kulusevski
66663,Jordan Pickford,Mason Holgate,Michael Keane,Séamus Coleman,Abdoulaye Doucouré,Alex Iwobi,Vitaliy Mykolenko,André Gomes,Richarlison,Dominic Calvert-Lewin,Anthony Gordon,Jack Butland,Nathaniel Clyne,Tyrick Mitchell,Marc Guéhi,Joachim Andersen,Eberechi Eze,Jeffrey Schlupp,Will Hughes,Jordan Ayew,Wilfried Zaha,Jean-Philippe Mateta
66512,Emiliano Martínez,Matty Cash,Tyrone Mings,Calum Chambers,Lucas Digne,Douglas Luiz,John McGinn,Emiliano Buendía,Jacob Ramsey,Carney Chukwuemeka,Ollie Watkins,Nick Pope,Charlie Taylor,James Tarkowski,Connor Roberts,Nathan Collins,Kevin Long,Jack Cork,Josh Brownhill,Dwight McNeil,Ashley Barnes,Maxwel Cornet
66605,Édouard Mendy,Antonio Rüdiger,Trevoh Chalobah,Thiago Silva,Marcos Alonso,Jorginho,N'Golo Kanté,Reece James,Romelu Lukaku,Christian Pulisic,Hakim Ziyech,Kasper Schmeichel,Wesley Fofana,Jonny Evans,Daniel Amartey,James Maddison,Nampalys Mendy,Timothy Castagne,Kiernan Dewsbury-Hall,Luke Thomas,Jamie Vardy,Kelechi Iheanacho
66707,Alex McCarthy,Kyle Walker-Peters,Lyanco,Jack Stephens,Nathan Redmond,Mohammed Salisu,James Ward-Prowse,Nathan Tella,Mohamed Elyounoussi,Ibrahima Diallo,Armando Broja,Alisson,Joe Gomez,Ibrahima Konaté,Konstantinos Tsimikas,Joël Matip,James Milner,Curtis Jones,Harvey Elliott,Roberto Firmino,Takumi Minamino,Diogo Jota
66706,Martin Dúbravka,Fabian Schär,Matt Targett,Emil Krafth,Dan Burn,Joelinton,Sean Longstaff,Bruno Guimarães,Callum Wilson,Allan Saint-Maximin,Miguel Almirón,Aaron Ramsdale,Ben White,Gabriel Magalhães,Takehiro Tomiyasu,Nuno Tavares,Bukayo Saka,Martin Ødegaard,Emile Smith Rowe,Mohamed Elneny,Granit Xhaka,Eddie Nketiah
66703,Jordan Pickford,Mason Holgate,Séamus Coleman,Jarrad Branthwaite,Abdoulaye Doucouré,Alex Iwobi,Vitaliy Mykolenko,André Gomes,Richarlison,Dominic Calvert-Lewin,Anthony Gordon,David Raya,Rico Henry,Pontus Jansson,Kristoffer Ajer,Mads Bech Sørensen,Christian Nørgaard,Mathias Jensen,Christian Eriksen,Yoane Wissa,Ivan Toney,Bryan Mbeumo
66708,Hugo Lloris,Davinson Sánchez,Eric Dier,Ben Davies,Pierre-Emile Højbjerg,Emerson Royal,Ryan Sessegnon,Rodrigo Bentancur,Son Heung-Min,Harry Kane,Lucas Moura,Nick Pope,Matthew Lowton,Charlie Taylor,Connor Roberts,Nathan Collins,Kevin Long,Jack Cork,Josh Brownhill,Dwight McNeil,Ashley Barnes,Maxwel Cornet
66702,Emiliano Martínez,Matty Cash,Ezri Konsa,Tyrone Mings,Lucas Digne,Douglas Luiz,John McGinn,Marvelous Nakamba,Philippe Coutinho,Danny Ings,Ollie Watkins,Jack Butland,Nathaniel Clyne,Tyrick Mitchell,Marc Guéhi,Cheikhou Kouyaté,Joachim Andersen,Luka Milivojevic,Eberechi Eze,Conor Gallagher,Wilfried Zaha,Jean-Philippe Mateta
66704,Illan Meslier,Junior Firpo,Robin Koch,Liam Cooper,Diego Llorente,Raphinha,Jack Harrison,Rodrigo,Kalvin Phillips,Mateusz Klich,Joe Gelhardt,Robert Sánchez,Marc Cucurella,Lewis Dunk,Joël Veltman,Solly March,Yves Bissouma,Leandro Trossard,Moisés Caicedo,Alexis Mac Allister,Pascal Groß,Danny Welbeck
66709,Ben Foster,Jeremy Ngakia,Adam Masina,Craig Cathcart,Christian Kabasele,Dan Gosling,Moussa Sissoko,Edo Kayembe,João Pedro,Ken Sema,Samuel Kalu,Danny Ward,James Justin,Wesley Fofana,Jonny Evans,Timothy Castagne,Harvey Barnes,Youri Tielemans,James Maddison,Nampalys Mendy,Kiernan Dewsbury-Hall,Jamie Vardy
