playerID,Name,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
13286,Tammy Abraham,0,0,25,0,0,31,12,55,45,0,0,0,0,0,0,0,0,0,5,922,10.36,7,32,0,0,0,2,0,56,39,26,3,20,1,3,0.29,0,0,164,68,41,30,0,0,0,0,0,0,0,0
4979,Adama Traoré,0,0,122,0,0,55,34,40,22,0,0,0,0,0,0,0,0,0,14,"2,551",14.83,23,547,0,0,0,8,0,142,30,9,1,7,1,6,0.05,0,0,149,41,28,9,0,0,0,0,0,0,0,0
13549,Tosin Adarabioyo,10,61,48,48,0,3,53,241,121,0,183,172,99,12,105,44,1,1,0,"2,384",55.44,0,3,33,0,142,1,0,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4852,Adrián,38,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"3,481",25.04,0,0,0,0,"1,096",10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,464,5,57,150,53,112,550,"1,265"
11357,Adrien Silva,0,0,24,63,0,5,15,1,1,0,63,52,75,7,11,21,0,0,1,512,36.57,1,4,0,3,26,3,0,9,0,0,0,0,0,0,0.00,0,0,11,2,18,0,0,0,0,0,0,0,0,0
4040,Benik Afobe,0,0,18,0,0,12,7,34,27,0,0,0,0,0,0,0,0,0,3,673,10.68,2,8,0,0,0,1,0,45,27,10,3,4,3,2,0.16,0,0,61,26,43,19,0,0,0,0,0,0,0,0
4328,Sergio Agüero,0,0,154,0,0,232,75,14,3,0,0,0,0,0,0,0,0,0,47,"6,305",22.93,62,177,0,0,0,23,1,169,195,184,19,130,34,34,0.67,27,0,"1,015",423,42,128,0,0,0,0,0,0,0,0
10559,Daniel Agyei,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,2,0,0,0,0,0,0,0,0,0,0,0
24695,Soufyan Ahannach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10439,Ola Aina,7,36,37,54,0,3,45,82,41,0,149,115,111,21,31,36,0,0,1,"1,478",43.47,1,52,17,0,66,3,0,32,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499,Nathan Aké,41,241,285,62,3,23,228,806,438,5,730,772,510,29,385,313,0,0,6,"7,781",43.71,10,65,18,4,301,19,1,116,8,15,8,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4482,Chuba Akpom,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,2,2,100,1,0,0,0,0,0,0,0,0
3564,Marc Albrighton,0,0,491,72,0,83,292,204,60,0,"1,437","1,128","1,346",336,84,233,0,0,44,"6,780",22.08,70,"1,787",20,36,415,37,1,182,23,19,2,15,2,6,0.06,0,1,246,81,33,15,0,0,0,0,0,0,0,0
4916,Toby Alderweireld,69,182,261,73,2,31,192,"1,090",527,5,937,639,505,29,325,302,3,1,4,"11,394",56.97,6,58,29,24,"1,188",22,0,83,3,9,6,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14732,Trent Alexander-Arnold,58,142,268,63,3,67,216,271,97,2,"1,116",474,550,110,61,112,0,2,45,"10,515",60.09,71,"1,362",25,39,806,17,0,88,28,11,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15007,Alfie Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55603,Ali Koiki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20559,Alisson,68,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,"4,471",29.81,0,0,0,0,617,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,341,2,67,64,21,99,817,801
9167,Dele Alli,0,0,275,64,0,87,146,124,71,0,864,937,"1,247",211,145,214,0,1,34,"6,211",32.02,48,92,14,72,182,28,0,209,36,51,9,32,10,8,0.26,3,0,337,134,40,40,0,0,0,0,0,0,0,0
54312,Miguel Almirón,0,0,200,62,0,64,86,53,18,0,575,513,494,133,28,71,0,1,4,"2,860",22.88,9,138,21,6,81,10,0,80,49,17,0,3,14,7,0.14,0,0,177,60,34,17,0,0,0,0,0,0,0,0
4093,Marcos Alonso,63,164,342,66,0,90,265,440,226,1,"1,018",979,803,113,349,255,0,1,16,"7,959",44.46,26,600,19,10,267,35,1,162,21,26,4,3,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14743,Paulo Alves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
