playerID,Name,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
13286,Tammy Abraham,0,0,25,0,0,31,12,55,45,0,0,0,0,0,0,0,0,0,5,922,10.36,7,32,0,0,0,2,0,56,39,26,3,20,1,3,0.29,0,0,164,68,41,30,0,0,0,0,0,0,0,0
21821,Adam Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4979,Adama Traoré,0,0,122,0,0,55,34,40,22,0,0,0,0,0,0,0,0,0,14,"2,551",14.83,23,547,0,0,0,8,0,142,30,9,1,7,1,6,0.05,0,0,149,41,28,9,0,0,0,0,0,0,0,0
10905,Che Adams,0,0,54,0,0,38,17,56,31,0,0,0,0,0,0,0,0,0,11,"1,565",14.23,22,34,0,0,0,1,0,94,41,24,4,19,1,5,0.22,0,0,169,77,46,41,0,0,0,0,0,0,0,0
13549,Tosin Adarabioyo,10,61,48,48,0,3,53,241,121,0,183,172,99,12,105,44,1,1,0,"2,384",55.44,0,3,33,0,142,1,0,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14674,Dennis Adeniran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4852,Adrián,38,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"3,481",25.04,0,0,0,0,"1,096",10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,464,5,57,150,53,112,550,"1,265"
11357,Adrien Silva,0,0,24,63,0,5,15,1,1,0,63,52,75,7,11,21,0,0,1,512,36.57,1,4,0,3,26,3,0,9,0,0,0,0,0,0,14,0,0,11,2,18,0,0,0,0,0,0,0,0,0
21797,Oladapo Afolayan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4328,Sergio Agüero,0,0,154,0,0,232,75,14,3,0,0,0,0,0,0,0,0,0,47,"6,305",22.93,62,177,0,0,0,23,1,169,195,184,19,130,34,34,0.67,27,0,"1,015",423,42,128,0,0,0,0,0,0,0,0
