playerID,Name,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
19970,Max Aarons,9,140,112,66,1,12,65,144,60,4,332,330,326,82,36,100,1,0,3,"2,436",34.80,9,123,20,5,74,15,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13286,Tammy Abraham,0,0,25,0,0,31,12,55,45,0,0,0,0,0,0,0,0,0,5,922,10.36,7,32,0,0,0,2,0,56,39,26,3,20,1,3,0.29,0,0,164,68,41,30,0,0,0,0,0,0,0,0
9199,Adam Armstrong,0,0,24,0,0,19,6,10,7,0,0,0,0,0,0,0,0,0,4,570,10.96,4,39,0,0,0,2,0,28,4,3,0,1,2,0,0.06,0,0,71,23,32,5,0,0,0,0,0,0,0,0
4979,Adama Traoré,0,0,122,0,0,55,34,40,22,0,0,0,0,0,0,0,0,0,14,"2,551",14.83,23,547,0,0,0,8,0,142,30,9,1,7,1,6,0.05,0,0,149,41,28,9,0,0,0,0,0,0,0,0
10905,Che Adams,0,0,54,0,0,38,17,56,31,0,0,0,0,0,0,0,0,0,11,"1,565",14.23,22,34,0,0,0,1,0,94,41,24,4,19,1,5,0.22,0,0,169,77,46,41,0,0,0,0,0,0,0,0
72541,Tayo Adaramola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4852,Adrián,38,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"3,481",25.04,0,0,0,0,"1,096",10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,464,5,57,150,53,112,550,"1,265"
4328,Sergio Agüero,0,0,154,0,0,232,75,14,3,0,0,0,0,0,0,0,0,0,47,"6,305",22.93,62,177,0,0,0,23,1,169,195,184,19,130,34,34,0.67,27,0,"1,015",423,42,128,0,0,0,0,0,0,0,0
90665,Derek Agyakwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4183,Ahmed El Mohamady,31,246,284,77,0,20,263,364,179,5,972,"1,000",890,130,462,419,1,1,13,"7,098",36.03,20,955,21,7,334,14,1,158,13,6,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
