playerID,Appearance
10483,18
4343,13
2840,124
4081,207
9199,52
2845,241
10544,0
4852,139
4040,63
2622,322
2916,175
10514,0
4328,275
4183,197
10439,34
10424,33
4499,178
4482,4
3564,307
4218,83
4916,200
8230,0
4410,0
4413,199
9167,194
4543,6
3897,69
2862,42
10511,13
4849,52
10470,0
4176,54
3663,1
8234,0
10476,60
10467,6
2905,204
4550,106
4861,0
4665,0
8242,86
4823,184
2704,284
4800,14
4526,32
3239,155
4859,80
9468,111
4496,335
4829,1
9762,12
4721,96
3030,420
2129,153
8969,0
3561,79
7485,0
4152,70
4291,84
3565,86
2517,303
10545,0
4115,232
8813,0
8246,200
10520,51
1308,652
3312,51
2303,269
10437,0
2537,256
4474,183
4171,84
3672,61
2098,276
4847,58
4492,280
4205,133
2886,262
10451,46
10426,0
4552,13
4761,0
7934,11
4283,0
10548,3
4888,90
8978,0
4769,1
10441,1
4898,53
4763,119
4838,115
3863,111
4601,128
16540,0
3908,27
4788,101
9030,10
4158,160
9032,3
1926,0
3364,30
2152,149
4674,15
2624,48
3744,269
8175,22
4261,0
4634,87
8336,0
10546,0
10466,36
10484,31
4828,1
2620,394
8974,0
10431,0
10462,31
4636,168
4254,23
5001,115
4843,180
3563,124
2058,288
1634,481
4430,94
2949,271
3957,123
2651,443
5559,1
4844,124
4105,54
4039,103
4620,165
4172,138
2936,60
4161,158
4840,27
4495,93
4346,117
4797,58
3562,214
11146,1
3448,242
2413,325
4604,222
4313,38
3713,183
1632,378
3600,337
3010,278
3680,211
10495,1
8238,0
3549,105
2889,300
4399,0
4435,0
4668,0
4911,126
2847,260
8897,269
4431,0
4602,0
1629,468
6615,13
10539,3
4672,0
3807,241
2531,124
9251,52
10438,0
2523,112
10526,2
2997,172
4285,0
2971,53
2805,286
4330,391
4885,22
3666,47
4546,56
1526,496
4098,0
1911,138
3799,204
4123,243
4680,69
4802,78
11002,24
5794,27
4377,23
3982,239
4941,95
4112,252
10506,2
3925,154
2125,469
13929,0
5057,9
4422,9
10380,1
7865,0
3746,142
4378,3
10455,21
2122,408
3205,164
3670,104
2662,254
3917,0
3835,32
10456,0
3601,118
4340,146
8235,0
1184,431
2341,175
4151,130
4638,1
4374,0
4488,51
10499,16
2214,52
3679,41
3020,2
4845,250
4751,35
4535,0
3309,331
2417,350
10477,36
4688,0
4383,33
7215,20
3604,260
4810,123
1111,504
4167,23
5672,199
4804,264
5344,64
5924,0
3524,214
4915,15
2611,178
4129,46
10500,0
1943,341
10733,0
3170,134
2932,390
4295,0
10479,4
3958,71
1420,450
4335,18
7482,19
10491,38
10423,46
3798,0
2204,61
9163,20
10528,11
4624,1
3868,5
3800,16
5937,11
10529,0
4764,2
4771,145
4600,43
1575,504
4830,32
3046,180
2942,94
7568,28
8249,0
4061,18
10489,0
4481,255
851,450
10469,0
4478,11
6900,64
4547,0
10519,1
4554,89
10452,0
10445,0
4260,130
10433,2
10494,4
10448,0
8650,4
4004,84
4153,6
3683,154
3558,154
4545,38
3183,19
4614,12
3394,238
10119,0
709,135
4373,2
4644,0
3143,340
4713,118
4503,245
2933,116
4723,3
3712,408
2569,183
4542,4
3997,127
10432,2
3327,36
10460,49
10475,132
10501,2
8241,0
1881,265
4371,72
3823,161
4667,38
10512,6
4610,28
4776,0
8981,0
13551,0
10442,0
2516,399
8240,0
10421,0
2991,242
13550,0
2053,322
3506,151
5558,0
4527,119
6390,24
13554,178
10542,0
4137,48
8245,184
4760,0
2928,245
4621,1
5511,26
3360,274
4717,198
1342,436
4756,0
3222,376
4793,0
4786,28
3669,42
10474,0
10480,145
4541,75
4000,205
4766,90
4296,114
2127,280
4248,93
2530,211
4506,7
4317,2
3102,249
4044,0
4331,37
10450,0
4835,52
3981,131
4836,23
3462,161
4606,178
4806,30
4566,24
3392,28
3508,197
4538,38
10191,3
3594,17
4101,2
10427,0
4497,0
4333,219
3483,29
3644,154
10485,0
4508,0
10449,50
4063,0
4190,0
4656,187
2579,75
8976,94
10517,17
10429,0
8982,72
4141,165
2002,352
3653,265
1515,347
4701,82
4030,255
5861,270
4724,18
10492,1
6671,15
3180,154
8232,1
4618,261
4627,120
4842,177
800,609
2613,282
9257,156
8127,0
13250,0
5561,4
6047,83
10453,0
4692,2
3830,105
10688,0
10459,0
2270,416
2574,287
4154,19
4337,178
3244,196
4686,0
4664,351
5179,146
8958,0
3837,48
4813,162
4487,231
3137,247
4289,1
10867,0
4799,9
4290,278
4720,17
4509,62
10422,0
13987,0
9566,207
8983,263
4690,34
10428,94
4648,3
6519,263
5334,59
2834,82
4918,123
13552,1
3251,168
4502,6
5078,32
2359,95
4245,104
4342,38
3725,69
13932,0
4287,278
3861,251
13840,0
4831,4
4629,16
4706,9
3880,2
4224,319
4437,203
4216,0
3979,272
4104,15
8636,32
10521,0
4785,52
7896,0
3779,46
10473,33
9649,20
2738,97
3909,231
4246,156
3714,103
4659,52
4179,245
2100,600
4033,5
4507,151
10493,0
4036,17
10464,0
4826,7
5178,207
4685,0
10518,66
8968,11
7219,90
8966,170
2529,311
3983,220
3751,164
4822,57
4772,148
11147,3
3333,78
2011,118
4645,31
10461,26
2755,281
4676,0
4472,187
4510,116
3447,147
15416,0
3546,220
4532,34
3956,176
4803,123
4805,68
5074,10
10538,8
4639,0
13245,0
3014,414
2040,401
3478,95
3821,194
2647,109
10425,0
4765,14
4439,3
8233,0
1717,445
10531,0
4407,0
3919,72
3731,0
4204,129
10543,8
4719,38
4715,0
5177,0
10537,0
7490,26
2728,188
10465,107
4501,131
1887,352
10420,29
4819,13
4504,60
10535,8
4252,229
3619,0
4714,184
2293,1
10536,0
10525,0
8977,0
4319,54
4841,45
8963,0
10502,68
9895,7
10487,220
5181,0
10358,0
9466,0
4525,183
14746,0
4640,225
3388,214
4821,225
10292,0
10527,16
4480,60
4681,2
4540,6
8356,3
10471,3
3370,6
4433,48
4084,204
3225,58
3664,109
2532,51
4103,159
4616,94
3548,262
4405,169
4818,62
2435,192
4322,1
4572,79
5665,16
2447,94
2925,203
1982,265
10488,26
4827,10
10486,0
10458,230
4725,48
4696,51
10510,1
3851,237
3389,167
10472,76
4286,239
4536,0
4442,0
2064,491
4424,0
3507,202
2464,141
3052,170
9031,1
2681,297
4791,32
3311,267
4796,128
2930,60
4973,154
4193,110
4718,21
4477,129
4339,82
10481,0
8980,219
2508,284
4615,200
4750,68
1218,514
10503,1
2412,131
9463,0
4185,166
2766,49
1934,315
4608,218
3158,316
4637,3
7480,0
4135,270
10507,1
10516,0
1962,298
3703,48
2007,200
4421,318
4145,309
5354,7
3157,213
2892,119
4549,295
3404,242
3613,219
8959,0
4558,171
10443,76
4846,52
2837,190
4281,17
10444,48
2664,93
4679,0
10523,12
10447,0
4348,3
4612,125
4316,332
10482,1
4258,75
4426,11
4505,207
4548,0
10508,0
3154,218
4315,14
4571,0
5180,1
4490,22
3543,132
1751,363
3241,86
10498,134
10547,0
4815,152
1941,8
2542,325
4086,32
1353,492
2008,155
4334,1
4798,0
4652,27
3169,222
10509,0
3517,280
4722,17
3420,212
4148,230
4864,25
10394,55
4401,29
3905,128
4687,0
8174,96
10435,2
1131,288
4951,30
3285,325
3362,213
4747,19
2616,280
8979,285
4809,4
5696,21
7486,2
9793,42
4332,0
4666,232
4486,79
4007,113
4398,102
3684,5
2839,380
3955,343
3498,36
5176,0
2047,233
4816,154
3999,171
4617,320
8970,30
10336,37
10457,0
3803,113
3452,286
4038,0
4489,286
2299,276
9983,0
4396,120
3702,123
4767,12
4024,134
4748,267
3547,182
5562,15
3527,147
7488,128
4130,48
4989,45
3756,185
878,111
4758,0
4673,160
4544,37
10522,109
4605,154
3062,404
4568,23
3654,302
4539,291
2603,252
3338,43
4716,0
5175,203
10468,0
