MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
38678,23.7,76.3,2,9,6,20,401,955,245,796,16,15,41,5,2,6,1,1,,,12,8,,
38679,39.7,60.3,5,6,14,17,527,714,341,533,15,11,21,27,4,5,4,0,5,1,11,3,,
38680,45,55,8,8,17,16,627,713,429,517,16,18,23,19,4,4,4,1,3,0,11,8,,
38681,68.1,31.9,2,6,16,13,940,532,765,358,12,15,7,38,5,5,1,1,1,0,6,8,,
38682,46.9,53.1,3,4,9,14,644,711,470,533,16,12,17,16,4,5,1,2,0,1,9,8,,
38683,59,41,5,2,13,7,784,581,603,427,16,14,15,20,4,1,3,1,0,2,3,11,,
38684,73.6,26.4,10,4,26,13,811,404,620,223,15,16,13,20,11,2,3,0,3,3,9,6,,
38685,53.7,46.3,3,3,10,10,659,579,447,388,12,27,16,26,4,3,1,2,0,1,8,6,,
38686,55,45,3,9,11,16,740,638,543,436,22,16,17,17,7,4,2,1,0,2,10,13,,
38687,48.3,51.7,8,9,17,16,586,674,419,460,17,15,12,34,7,2,4,1,1,0,10,10,1,0
38674,61,39,5,2,19,7,817,608,636,416,14,22,10,44,11,0,2,0,3,2,12,5,,
38668,70.5,29.5,8,5,20,11,783,450,564,235,11,22,17,36,16,3,2,4,5,2,9,14,,
38670,39.3,60.7,8,7,18,21,499,689,276,446,21,16,23,29,10,5,1,2,,,14,11,,
38675,30.9,69.1,7,4,14,11,469,851,294,677,12,13,27,22,2,3,4,2,1,1,10,4,,
38671,58.4,41.6,9,3,19,16,747,570,537,382,22,14,26,15,6,6,1,3,0,1,6,12,,
38673,35.8,64.2,3,7,7,23,506,805,332,600,18,15,20,20,3,7,2,1,1,1,10,10,,
38672,60.1,39.9,6,1,20,5,764,565,555,369,20,17,22,34,8,1,1,2,0,2,8,9,,
38669,53.6,46.4,6,5,20,11,643,595,439,404,15,15,15,20,10,6,1,3,1,5,11,12,0,2
38676,56.3,43.7,6,1,17,11,728,572,520,384,18,14,26,13,2,7,3,1,1,1,2,11,,
38677,39.2,60.8,6,2,19,6,546,782,376,601,19,13,13,36,7,1,1,0,1,3,10,15,,
38664,51.7,48.3,5,3,7,16,653,617,467,422,15,15,12,19,6,6,5,5,3,2,9,14,,
38658,49.8,50.2,2,1,9,9,653,669,461,488,11,23,23,31,7,4,3,0,2,3,7,10,,
38662,67.2,32.8,12,1,24,6,816,491,610,293,19,16,25,20,8,6,2,3,3,1,13,13,0,1
38659,30.1,69.9,0,7,2,25,442,814,263,608,16,13,31,21,0,6,2,3,1,1,5,7,,
38663,70.3,29.7,7,1,21,5,927,479,726,306,19,23,11,20,4,4,2,4,,,5,14,,
38666,63,37,4,7,14,16,847,579,614,351,20,21,25,21,2,7,5,3,0,2,3,8,,
38660,36.1,63.9,0,3,8,22,564,777,313,543,21,20,36,19,5,10,4,0,2,0,9,15,,
38661,73,27,2,8,8,13,833,434,623,220,22,28,25,32,10,3,1,3,,,10,8,,
38665,44.4,55.6,7,5,22,9,586,661,351,459,25,19,20,30,9,3,,,2,1,8,9,,
38667,56.5,43.5,1,4,10,11,716,597,495,386,17,22,34,34,4,5,3,5,3,2,10,11,,
38617,29.6,70.4,3,1,11,11,445,841,285,690,15,7,18,3,5,5,1,3,2,3,12,9,,
38613,36.8,63.2,1,5,12,8,565,874,406,702,13,14,12,11,1,1,0,2,2,2,10,10,,
38635,78.5,21.5,5,1,29,6,902,383,713,194,15,18,11,37,6,3,2,1,1,2,7,13,,
38615,62.2,37.8,4,4,15,8,800,567,599,359,14,21,12,27,3,4,4,5,5,2,10,14,,
38651,76.4,23.6,9,3,22,6,899,425,681,219,15,15,12,48,10,1,1,2,2,1,9,4,,
38648,72.6,27.4,5,7,12,16,881,464,656,249,15,27,6,30,8,3,1,2,4,1,15,12,,
38650,23.9,76.1,2,6,7,17,352,798,193,619,15,15,29,17,5,10,4,2,1,1,6,5,,
38655,43.4,56.6,6,3,15,15,536,632,320,417,22,14,30,18,4,11,0,2,0,2,5,11,,
38652,48.3,51.7,8,1,15,7,583,607,383,417,17,12,24,21,10,2,1,1,1,1,11,7,,
38649,49,51,5,5,15,17,636,642,445,457,21,14,20,12,3,7,1,0,1,3,11,18,,
38654,60.7,39.3,4,4,15,10,794,564,582,379,15,26,11,19,4,4,2,2,1,2,11,11,,
38653,45.7,54.3,3,6,13,11,561,629,378,459,15,16,17,14,2,2,1,2,2,2,15,9,,
38656,49.3,50.7,3,5,11,11,617,633,410,425,19,27,20,24,6,8,1,2,2,0,8,9,,
38657,68.2,31.8,5,0,23,5,818,468,615,297,12,24,9,37,14,1,0,1,0,1,0,8,,
38609,63.9,36.1,2,3,14,10,744,522,520,302,18,29,16,32,5,4,2,0,0,1,11,13,,
