MatchID,Home_team,Away_team,Score_home,Score_away
75063,Fulham,Man Utd,1,2
75061,Bournemouth,Everton,3,0
75064,Liverpool,Southampton,3,1
75067,Nott'm Forest,Crystal Palace,1,0
75068,Spurs,Leeds,4,3
75069,West Ham,Leicester,0,2
75066,Newcastle,Chelsea,1,0
75070,Wolves,Arsenal,0,2
75062,Brighton,Aston Villa,1,2
75065,Man City,Brentford,1,2
75058,Spurs,Liverpool,1,2
75054,Leeds,Bournemouth,4,3
75055,Man City,Fulham,2,1
75056,Nott'm Forest,Brentford,2,2
75060,Wolves,Brighton,2,3
75053,Everton,Leicester,0,2
75052,Chelsea,Arsenal,0,1
75051,Aston Villa,Man Utd,3,1
75057,Southampton,Newcastle,1,4
75059,West Ham,Crystal Palace,1,2
75049,Man Utd,West Ham,1,0
75046,Fulham,Everton,0,0
75048,Liverpool,Leeds,1,2
75041,Arsenal,Nott'm Forest,5,0
75047,Leicester,Man City,0,1
75042,Bournemouth,Spurs,2,3
75043,Brentford,Wolves,1,1
75044,Brighton,Chelsea,4,1
75045,Crystal Palace,Southampton,1,0
75050,Newcastle,Aston Villa,4,0
75039,West Ham,Bournemouth,2,0
75038,Spurs,Newcastle,1,2
75032,Chelsea,Man Utd,1,1
75031,Aston Villa,Brentford,4,0
75034,Leeds,Fulham,2,3
75037,Southampton,Arsenal,1,1
75040,Wolves,Leicester,0,4
75036,Nott'm Forest,Liverpool,1,0
75033,Everton,Crystal Palace,3,0
75035,Man City,Brighton,3,1
75026,Fulham,Aston Villa,3,0
75027,Leicester,Leeds,2,0
75022,Bournemouth,Southampton,0,1
75023,Brentford,Chelsea,0,0
75028,Liverpool,West Ham,1,0
75030,Newcastle,Everton,1,0
75029,Man Utd,Spurs,2,0
75024,Brighton,Nott'm Forest,0,0
75025,Crystal Palace,Wolves,2,1
75016,Liverpool,Man City,1,0
75019,Spurs,Everton,2,0
75011,Aston Villa,Chelsea,0,2
75014,Leeds,Arsenal,0,1
75017,Man Utd,Newcastle,0,0
75018,Southampton,West Ham,1,1
75012,Brentford,Brighton,2,0
75015,Leicester,Crystal Palace,0,0
75013,Fulham,Bournemouth,2,2
75020,Wolves,Nott'm Forest,1,0
75009,Nott'm Forest,Aston Villa,1,1
75001,Arsenal,Liverpool,3,2
75006,Everton,Man Utd,1,2
75003,Brighton,Spurs,0,1
75005,Crystal Palace,Leeds,2,1
75010,West Ham,Fulham,3,1
75002,Bournemouth,Leicester,2,1
75004,Chelsea,Wolves,3,0
75007,Man City,Southampton,4,0
75008,Newcastle,Brentford,5,1
74996,Leicester,Nott'm Forest,4,0
74995,Leeds,Aston Villa,0,0
75000,West Ham,Wolves,2,0
74998,Man City,Man Utd,6,3
74991,Arsenal,Spurs,3,1
74992,Bournemouth,Brentford,0,0
74993,Crystal Palace,Chelsea,1,2
74994,Fulham,Newcastle,1,4
74997,Liverpool,Brighton,3,3
74999,Southampton,Everton,1,2
74985,Everton,West Ham,1,0
74989,Spurs,Leicester,6,2
74982,Brentford,Arsenal,0,3
74981,Aston Villa,Southampton,1,0
74988,Nott'm Forest,Fulham,2,3
74990,Wolves,Man City,0,3
74987,Newcastle,Bournemouth,1,1
74966,Man Utd,Arsenal,3,1
74961,Aston Villa,Man City,1,1
74963,Brighton,Leicester,5,2
74965,Everton,Liverpool,0,0
74962,Brentford,Leeds,5,2
74964,Chelsea,West Ham,2,1
74967,Newcastle,Crystal Palace,0,0
74968,Nott'm Forest,Bournemouth,2,3
74969,Spurs,Fulham,2,1
74970,Wolves,Southampton,1,0
74956,Leicester,Man Utd,0,1
74951,Arsenal,Aston Villa,2,1
74952,Bournemouth,Wolves,0,0
74959,Man City,Nott'm Forest,6,0
74957,West Ham,Spurs,1,1
74958,Liverpool,Newcastle,2,1
74953,Crystal Palace,Brentford,1,1
74954,Fulham,Brighton,2,1
74960,Southampton,Chelsea,2,1
74955,Leeds,Everton,1,1
74948,Nott'm Forest,Spurs,0,2
74941,Arsenal,Fulham,2,1
74942,Aston Villa,West Ham,0,1
74950,Wolves,Newcastle,1,1
74949,Southampton,Man Utd,0,1
74943,Brentford,Everton,1,1
74944,Brighton,Leeds,1,0
74945,Chelsea,Leicester,2,1
74946,Liverpool,Bournemouth,9,0
74947,Man City,Crystal Palace,4,2
74937,Man Utd,Liverpool,2,1
74938,Newcastle,Man City,3,3
74935,Leeds,Chelsea,3,0
74940,West Ham,Brighton,0,2
74931,Bournemouth,Arsenal,0,3
74939,Spurs,Wolves,1,0
74932,Crystal Palace,Aston Villa,3,1
74933,Everton,Nott'm Forest,1,1
74934,Fulham,Brentford,3,2
74936,Leicester,Southampton,1,2
74926,Liverpool,Crystal Palace,1,1
74925,Chelsea,Spurs,2,2
74923,Brentford,Man Utd,4,0
74928,Nott'm Forest,West Ham,1,0
74922,Aston Villa,Everton,2,1
74921,Arsenal,Leicester,4,2
74924,Brighton,Newcastle,0,0
74927,Man City,Bournemouth,4,0
74929,Southampton,Leeds,2,2
74930,Wolves,Fulham,0,0
74920,West Ham,Man City,0,2
74913,Everton,Chelsea,0,1
74916,Leicester,Brentford,2,2
74919,Man Utd,Brighton,1,2
74911,Crystal Palace,Arsenal,0,2
74914,Fulham,Liverpool,2,2
74912,Bournemouth,Aston Villa,2,0
74915,Leeds,Wolves,2,1
74917,Newcastle,Nott'm Forest,2,0
74918,Spurs,Southampton,4,1
