MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
46975,51.1,48.9,5,6,13,19,626,589,442,398,14,7,25,6,4,8,1,3,3,3,9,12,,
46976,54.2,45.8,2,4,13,15,561,520,378,334,20,6,3,31,6,7,3,2,3,0,11,11,,
46977,62.9,37.1,3,1,11,5,833,561,629,370,30,22,14,6,3,3,3,1,2,3,10,16,,
46978,47.2,52.8,2,2,13,7,637,693,422,489,22,26,11,17,7,2,1,0,3,2,11,13,,
46979,70,30,5,7,13,13,916,507,687,282,26,18,23,12,2,5,0,1,1,0,11,9,,
46980,45.8,54.2,3,3,14,7,623,681,425,518,23,21,12,8,3,3,2,2,1,5,12,11,1,0
46981,73.1,26.9,10,4,31,5,900,415,722,268,12,14,5,26,9,0,0,2,1,1,7,4,,
46982,25.3,74.7,2,6,3,14,428,981,267,792,23,12,23,8,2,4,3,1,1,0,11,5,,
46983,72.1,27.9,4,3,13,5,864,417,684,260,11,12,8,34,9,1,2,2,0,1,9,16,,
46984,63,37,1,4,10,13,655,444,480,277,15,13,26,11,0,7,0,1,2,1,16,13,,
46969,57.2,42.8,4,3,11,12,775,613,609,441,9,20,8,18,2,3,3,1,3,1,10,9,,
46968,50,50,7,5,10,10,749,752,584,575,19,9,14,15,6,0,0,3,1,0,8,11,,
46973,23.1,76.9,0,10,2,26,410,941,232,764,18,22,21,11,0,8,4,3,2,0,14,11,,
46965,31,69,3,0,8,7,439,771,264,606,16,3,32,18,8,9,1,1,2,4,13,19,,
46967,62.5,37.5,3,1,11,12,725,497,542,315,12,15,19,23,9,7,1,1,4,2,13,12,,
46971,50.6,49.4,0,2,8,5,651,660,468,472,17,10,12,29,7,1,1,2,1,3,11,19,,
46974,53.4,46.6,5,3,11,7,651,594,465,404,18,13,14,18,5,2,0,1,2,1,11,15,,
46972,29,71,3,6,7,24,465,893,285,697,17,12,30,7,4,13,4,0,2,1,15,10,,
46970,42.3,57.7,2,8,6,23,516,638,354,468,6,13,23,8,6,8,1,1,,,9,16,2,0
46966,43,57,3,8,11,16,506,634,288,407,17,22,11,47,12,6,2,1,2,2,12,11,,
46964,40.6,59.4,4,3,10,14,497,652,297,439,13,16,28,18,9,3,1,2,0,2,11,11,,
46959,54.9,45.1,1,1,9,15,622,527,443,362,10,9,20,14,5,5,,,2,1,15,13,,
46960,54.4,45.6,7,1,15,5,658,586,472,401,18,10,24,24,9,5,3,4,1,2,12,10,,
46958,40.6,59.4,5,5,13,17,626,827,428,625,26,14,18,13,2,7,1,0,1,2,10,15,,
46963,67.9,32.1,6,2,21,10,787,465,597,281,15,18,8,21,8,2,1,2,1,0,6,10,,
46956,46.7,53.3,1,5,9,14,522,598,359,413,12,9,21,20,3,8,1,1,,,10,8,,
46961,72.5,27.5,4,3,8,15,923,435,756,275,15,9,25,10,3,5,2,2,1,1,10,10,,
46962,52.8,47.2,6,5,22,8,662,623,503,456,14,14,9,21,5,4,0,1,2,3,6,13,,
46955,31.1,68.9,2,8,3,24,456,816,286,614,21,12,24,3,2,13,5,4,3,1,14,10,,
46957,67.7,32.3,6,0,22,2,950,540,772,374,8,15,6,21,8,1,0,1,2,2,10,9,,
46949,47.5,52.5,4,5,8,9,654,684,463,510,13,10,20,16,4,6,1,0,1,3,14,15,,
46952,37.3,62.7,9,4,15,13,542,808,378,636,22,12,21,13,6,5,2,0,5,3,16,11,,
