MatchID,Home_team,Away_team,Score_home,Score_away
66712,Arsenal,Everton,5,1
66713,Brentford,Leeds,1,2
66714,Brighton,West Ham,3,1
66715,Burnley,Newcastle,1,2
66716,Chelsea,Watford,2,1
66717,Crystal Palace,Man Utd,1,0
66718,Leicester,Southampton,4,1
66719,Liverpool,Wolves,3,1
66720,Man City,Aston Villa,3,2
66721,Norwich,Spurs,0,5
66663,Everton,Crystal Palace,3,2
66512,Aston Villa,Burnley,1,1
66605,Chelsea,Leicester,1,1
66707,Southampton,Liverpool,1,2
66706,Newcastle,Arsenal,2,0
66703,Everton,Brentford,2,3
66708,Spurs,Burnley,1,0
66702,Aston Villa,Crystal Palace,1,1
66704,Leeds,Brighton,1,1
66709,Watford,Leicester,1,5
66710,West Ham,Man City,2,2
66711,Wolves,Norwich,1,1
66559,Spurs,Arsenal,3,0
66664,Leeds,Chelsea,0,3
66548,Leicester,Norwich,3,0
66640,Watford,Everton,0,0
66671,Wolves,Man City,1,5
66662,Aston Villa,Liverpool,1,2
66700,Man City,Newcastle,5,0
66694,Brighton,Man Utd,4,0
66699,Liverpool,Spurs,1,1
66692,Arsenal,Leeds,2,1
66698,Leicester,Everton,1,2
66701,Norwich,West Ham,0,4
66693,Brentford,Southampton,3,0
66695,Burnley,Aston Villa,1,3
66696,Chelsea,Wolves,2,2
66697,Crystal Palace,Watford,1,0
66685,Man Utd,Brentford,3,0
66690,West Ham,Arsenal,1,2
66684,Leeds,Man City,0,4
66683,Everton,Chelsea,1,0
66688,Spurs,Leicester,3,1
66686,Newcastle,Liverpool,0,1
66682,Aston Villa,Norwich,2,0
66687,Southampton,Crystal Palace,1,2
66689,Watford,Burnley,1,2
66691,Wolves,Brighton,0,3
66705,Man Utd,Chelsea,1,1
66677,Crystal Palace,Leeds,0,0
66679,Liverpool,Everton,2,0
66673,Brentford,Spurs,0,0
66674,Brighton,Southampton,2,2
66675,Burnley,Wolves,1,0
66676,Chelsea,West Ham,1,0
66672,Arsenal,Man Utd,3,1
66678,Leicester,Aston Villa,0,0
66680,Man City,Watford,5,1
66681,Norwich,Newcastle,0,3
66633,Burnley,Southampton,2,0
66584,Chelsea,Arsenal,2,4
66513,Everton,Leicester,1,1
66637,Newcastle,Crystal Palace,1,0
66636,Man City,Brighton,3,0
66635,Liverpool,Man Utd,4,0
66666,Newcastle,Leicester,2,1
66670,West Ham,Burnley,1,1
66668,Spurs,Brighton,0,1
66665,Man Utd,Norwich,3,2
66667,Southampton,Arsenal,1,0
66669,Watford,Brentford,1,2
66657,Man City,Liverpool,2,2
66653,Aston Villa,Spurs,0,4
66654,Brentford,West Ham,2,0
66656,Leicester,Crystal Palace,2,1
66659,Norwich,Burnley,2,0
66655,Everton,Man Utd,1,0
66652,Arsenal,Brighton,1,2
66660,Southampton,Chelsea,0,6
66661,Watford,Leeds,0,3
66658,Newcastle,Wolves,1,0
66524,Burnley,Everton,3,2
66645,Crystal Palace,Arsenal,3,0
66649,Spurs,Newcastle,5,1
66648,Man Utd,Leicester,1,1
66650,West Ham,Everton,2,1
66647,Liverpool,Watford,2,0
66642,Brighton,Norwich,0,0
66643,Burnley,Man City,0,2
66644,Chelsea,Brentford,1,4
66646,Leeds,Southampton,1,1
66651,Wolves,Aston Villa,2,1
66639,Spurs,West Ham,3,1
66634,Leicester,Brentford,2,1
66641,Wolves,Leeds,2,3
66632,Aston Villa,Arsenal,0,1
66536,Everton,Newcastle,1,0
66494,Brighton,Spurs,0,2
66602,Arsenal,Liverpool,0,2
66626,Crystal Palace,Man City,0,0
66622,Arsenal,Leicester,2,0
66623,Brentford,Burnley,2,0
66629,Man Utd,Spurs,3,2
66625,Chelsea,Newcastle,1,0
66627,Everton,Wolves,0,1
66628,Leeds,Norwich,2,1
66630,Southampton,Watford,1,2
66631,West Ham,Aston Villa,2,1
66624,Brighton,Liverpool,0,2
66638,Norwich,Chelsea,1,3
66550,Southampton,Newcastle,1,2
66531,Wolves,Watford,4,0
66537,Leeds,Aston Villa,0,3
66619,Spurs,Everton,5,0
66616,Man City,Man Utd,4,1
66612,Aston Villa,Southampton,4,0
66613,Burnley,Chelsea,0,4
66617,Newcastle,Brighton,2,1
66615,Liverpool,West Ham,1,0
66620,Watford,Arsenal,2,3
66618,Norwich,Brentford,1,3
66621,Wolves,Crystal Palace,0,2
66614,Leicester,Leeds,1,0
66554,Burnley,Leicester,0,2
66603,Brentford,Newcastle,0,2
66606,Crystal Palace,Burnley,1,1
66609,Man Utd,Watford,0,0
66604,Brighton,Aston Villa,0,2
66607,Everton,Man City,0,1
66611,West Ham,Wolves,1,0
66610,Southampton,Norwich,2,0
66608,Leeds,Spurs,0,4
66532,Arsenal,Wolves,2,1
66465,Burnley,Spurs,1,0
66519,Watford,Crystal Palace,1,4
66525,Liverpool,Leeds,6,0
66601,Wolves,Leicester,2,1
66592,Arsenal,Brentford,2,1
66593,Aston Villa,Watford,0,1
66594,Brighton,Burnley,0,3
66595,Crystal Palace,Chelsea,0,1
66597,Liverpool,Norwich,3,1
66599,Southampton,Everton,2,0
66598,Man City,Spurs,2,3
66596,Leeds,Man Utd,2,4
66600,West Ham,Newcastle,1,1
66515,Man Utd,Brighton,2,0
66586,Leicester,West Ham,2,2
66582,Brentford,Crystal Palace,0,0
66585,Everton,Leeds,3,0
66591,Watford,Brighton,0,2
66589,Norwich,Man City,0,4
66583,Burnley,Liverpool,0,1
66588,Newcastle,Aston Villa,1,0
66590,Spurs,Wolves,0,2
66587,Man Utd,Southampton,1,1
66578,Liverpool,Leicester,2,0
66577,Wolves,Arsenal,0,1
