MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
75063,52.7,47.3,7,9,14,14,652,621,461,433,18,12,11,37,10,3,1,2,1,1,9,10,,
75061,35.8,64.2,9,3,16,15,481,730,305,542,15,30,22,6,3,5,1,1,2,0,12,8,,
75064,59.9,40.1,7,5,15,9,837,617,670,445,12,16,14,18,6,0,0,2,0,2,8,8,,
75067,31.5,68.5,2,0,9,8,444,797,284,633,21,11,25,13,1,5,3,0,1,4,11,13,,
75068,54.7,45.3,8,5,14,12,737,656,545,464,12,20,9,24,9,2,0,1,1,1,8,7,0,1
75069,53.6,46.4,6,6,18,9,677,623,483,422,18,19,9,26,7,2,2,0,3,1,9,8,,
75066,48.9,51.1,3,2,10,5,635,668,451,471,23,23,13,20,5,3,3,0,4,2,14,11,,
75070,37.4,62.6,2,4,11,14,505,740,348,579,17,10,23,8,6,4,3,1,3,2,5,6,,
75062,65.1,34.9,2,2,7,8,714,481,526,293,14,23,7,34,11,4,3,1,2,7,14,11,,
75065,74.6,25.4,6,8,29,10,812,407,622,216,9,11,12,46,10,2,2,2,2,2,9,7,,
75058,46.6,53.4,5,6,14,13,726,807,518,616,15,14,12,33,5,3,1,2,,,10,8,,
75054,60.9,39.1,4,6,18,9,654,508,443,290,26,15,14,32,13,3,,,2,2,16,10,,
75055,70.6,29.4,5,2,16,4,881,444,717,295,16,15,4,21,9,0,3,0,2,4,6,11,1,0
75056,47.2,52.8,7,2,15,6,600,658,419,477,18,13,17,30,3,3,0,2,2,2,10,11,,
75060,28.6,71.4,5,8,8,19,405,821,256,653,18,15,18,13,4,9,1,1,2,0,15,11,1,0
75053,48.4,51.6,2,8,12,22,661,710,482,527,14,13,19,25,8,3,0,1,,,9,5,,
75052,44.3,55.7,1,2,5,14,536,662,360,452,24,17,19,22,4,6,3,0,5,2,19,13,,
75051,41.8,58.2,4,3,6,8,573,691,401,543,16,16,24,5,3,5,0,3,3,3,6,12,,
75057,55.2,44.8,5,4,16,7,675,557,468,380,21,15,17,25,8,2,4,1,1,0,7,10,,
75059,42,58,2,6,5,15,573,750,419,591,16,13,15,9,2,5,4,0,1,1,10,7,,
75049,53,47,3,5,16,13,671,609,490,412,18,13,32,19,5,10,1,2,1,3,12,10,,
75046,56.5,43.5,6,4,24,9,652,559,463,370,12,15,8,33,13,4,0,5,2,1,10,8,,
75048,69,31,10,6,22,14,918,555,679,304,17,21,15,47,14,4,,,0,1,9,3,,
75041,69.1,30.9,10,2,24,5,801,453,618,275,14,25,11,30,9,4,1,2,0,1,9,8,,
75047,35.7,64.3,5,5,10,15,532,833,385,691,12,7,14,6,3,10,0,2,,,5,10,,
75042,30.6,69.4,4,7,6,23,474,831,292,631,18,16,39,10,2,19,0,3,1,2,10,5,,
75043,57.8,42.2,3,4,12,13,612,496,419,304,17,17,18,28,3,6,0,1,3,3,10,17,0,1
75044,41,59,9,7,19,15,544,707,349,513,18,8,21,16,8,7,,,1,2,16,6,,
75045,44.4,55.6,3,4,12,14,597,703,402,497,23,20,33,21,8,4,5,3,3,3,13,12,,
75050,59.5,40.5,7,0,20,3,691,521,520,356,15,19,7,14,3,0,2,3,1,1,11,11,,
75039,54.4,45.6,4,3,20,5,694,610,497,432,22,21,9,23,5,0,1,0,0,2,9,11,,
75038,52.4,47.6,5,5,17,13,655,621,457,409,18,16,17,16,6,7,3,4,4,2,12,6,,
75032,47.9,52.1,2,6,6,13,583,630,414,464,11,18,18,16,6,4,2,3,1,4,8,10,,
75031,45.1,54.9,11,3,19,12,527,596,329,397,20,20,25,12,7,6,0,1,1,0,14,11,,
75034,57.2,42.8,5,5,14,11,680,567,488,355,22,16,7,16,3,6,4,4,1,1,12,8,,
75037,40.7,59.3,3,3,10,12,533,719,358,541,21,16,17,25,9,4,4,3,2,1,11,8,,
75040,60.9,39.1,6,4,21,5,728,517,537,347,11,23,7,22,9,2,3,3,2,1,10,12,,
75036,24.8,75.2,7,7,10,15,425,895,227,691,19,14,38,7,2,11,3,0,2,1,14,8,,
75033,45.8,54.2,6,2,9,9,581,647,382,456,26,20,16,17,3,4,1,2,3,4,16,14,,
75035,48.4,51.6,4,2,10,8,591,623,446,471,14,16,12,11,6,3,0,4,1,3,11,12,,
75026,60.4,39.6,8,6,18,12,651,479,482,311,12,14,14,12,9,7,0,3,0,2,11,11,0,1
75027,46.8,53.2,1,2,5,14,663,721,461,518,26,30,19,14,2,9,4,2,2,1,15,11,,
75022,53.5,46.5,3,3,15,9,719,656,529,464,13,23,10,24,7,3,2,0,1,3,8,13,,
75023,33.7,66.3,5,5,8,14,501,844,317,656,19,17,25,21,6,2,2,0,,,7,7,,
75028,53.8,46.2,7,3,22,8,775,682,600,510,13,15,15,18,8,3,1,0,,,9,8,,
75030,49.8,50.2,4,0,16,1,576,595,392,412,21,18,9,19,8,2,0,3,2,4,9,12,,
75029,51.9,48.1,10,2,28,9,765,703,583,528,17,12,15,10,8,3,4,0,1,0,7,7,,
75024,70.3,29.7,7,0,19,3,805,435,623,260,11,13,8,24,9,1,1,0,3,1,10,14,,
75025,51.3,48.7,4,4,14,10,663,625,449,428,23,29,15,16,4,2,0,4,3,1,14,18,,
75016,36.8,63.2,2,6,13,16,601,907,407,702,23,20,27,15,5,6,3,0,3,1,10,7,,
75019,61.5,38.5,7,0,21,4,734,518,583,367,8,15,6,25,7,1,,,1,4,12,13,,
75011,41.1,58.9,7,4,18,8,542,717,353,548,24,9,6,22,7,1,3,1,0,3,12,11,,
75014,47,53,4,4,16,9,609,695,428,500,25,17,5,17,6,3,4,0,0,2,10,11,0,1
75017,63,37,2,2,15,9,676,476,512,301,18,13,9,19,4,4,2,0,3,1,13,11,,
75018,39.1,60.9,8,4,10,25,540,700,323,488,14,22,34,19,4,14,1,0,1,1,7,3,,
75012,27.5,72.5,3,7,7,21,444,798,235,611,12,25,29,9,2,11,0,3,3,1,12,15,,
75015,53.1,46.9,5,1,14,8,758,697,579,514,25,13,12,25,9,2,2,1,2,2,18,13,,
75013,68.9,31.1,4,6,19,10,773,453,585,268,12,14,8,46,5,6,1,0,2,0,9,11,,
75020,58,42,2,2,9,10,615,482,435,313,17,16,23,21,4,5,2,1,2,2,17,13,,
75009,39.9,60.1,3,2,6,12,524,697,333,506,14,21,23,8,1,4,0,3,3,3,13,19,,
75001,44,56,7,3,11,8,574,670,386,488,16,15,31,19,4,3,3,6,1,2,11,11,,
75006,39.7,60.3,2,4,11,12,556,765,375,609,9,15,9,25,5,4,1,4,2,1,7,13,,
75003,58.9,41.1,4,3,14,8,864,652,694,489,17,15,7,19,6,2,2,3,1,2,9,14,,
75005,54.5,45.5,5,4,13,10,666,555,418,345,18,29,19,12,5,3,2,2,3,3,13,23,,
75010,50.3,49.7,8,2,17,8,648,662,485,486,12,14,11,17,4,2,1,2,1,3,9,7,,
75002,44.2,55.8,4,5,10,9,631,734,424,551,13,32,12,23,7,2,3,0,1,2,8,16,,
75004,57.4,42.6,7,2,20,8,768,612,591,431,26,13,12,17,4,2,3,0,2,0,8,8,,
75007,65.2,34.8,8,0,21,5,909,559,744,393,15,19,6,20,9,1,1,1,0,1,4,8,,
75008,54.4,45.6,6,3,16,6,562,496,389,320,16,11,21,15,9,5,1,3,0,1,14,9,,
74996,51.6,48.4,7,3,17,10,662,622,492,464,11,14,17,15,6,6,3,4,2,4,13,12,,
74995,43.8,56.2,1,7,6,19,553,663,375,479,12,16,23,7,2,9,0,2,3,2,23,12,1,0
75000,39.1,60.9,5,4,18,15,539,754,372,564,23,12,27,6,1,6,2,1,2,2,8,6,,
74998,53.9,46.1,10,8,22,12,703,603,551,476,14,14,9,10,5,1,1,0,0,3,3,9,,
74991,64.7,35.3,9,3,22,7,750,468,565,307,14,16,15,26,5,2,1,3,2,1,10,10,0,1
74992,42,58,1,4,7,13,540,703,375,530,14,20,20,19,7,8,1,2,1,2,11,10,,
74993,36,64,3,3,7,13,514,799,348,635,18,16,14,12,5,2,1,0,1,3,11,13,,
74994,31.7,68.3,1,10,3,19,423,770,281,605,13,15,14,14,1,8,4,7,2,0,9,10,1,0
74997,53.8,46.2,7,6,15,6,749,657,530,460,15,23,16,26,9,2,1,0,1,1,9,13,,
74999,54.2,45.8,6,5,22,12,670,594,445,380,22,23,17,26,7,6,0,1,2,2,11,10,,
74985,53.6,46.4,2,4,7,14,676,575,464,388,18,18,28,17,5,14,1,1,3,1,8,11,,
74989,43.7,56.3,11,7,16,19,651,795,482,632,14,16,8,11,6,1,1,0,1,2,9,9,,
74982,36.1,63.9,2,7,5,13,487,754,321,592,21,12,16,19,3,3,3,1,0,2,10,10,,
74981,52.7,47.3,3,1,11,7,645,624,420,376,35,28,21,26,6,3,1,0,3,1,13,13,,
74988,40.8,59.2,3,7,11,15,540,721,375,555,10,12,22,14,2,10,2,1,2,4,11,10,,
74990,40.8,59.2,1,7,6,16,588,796,422,622,19,19,11,10,5,7,0,1,2,1,7,9,1,0
74987,72.4,27.6,7,3,20,10,839,448,643,245,16,18,9,35,8,1,3,1,2,2,10,11,,
74966,39.5,60.5,6,3,10,16,472,630,310,465,17,14,24,6,2,5,4,0,3,3,13,9,,
74961,27.7,72.3,1,4,3,13,420,895,287,763,15,13,15,8,1,4,5,3,2,0,7,6,,
74963,53.5,46.5,11,4,23,6,670,608,493,436,17,13,5,27,10,1,2,3,1,1,6,8,,
