MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
66712,73.7,26.3,9,2,26,6,818,388,647,234,12,21,12,30,12,2,2,0,0,1,8,9,,
66713,48.7,51.3,5,6,14,14,599,596,412,438,12,10,24,8,3,2,0,2,2,1,11,13,1,0
66714,49.9,50.1,7,2,18,7,660,652,489,480,12,14,22,19,5,6,,,1,1,9,9,,
66715,51.4,48.6,5,6,12,8,542,522,344,338,11,22,13,27,8,2,5,0,1,0,8,9,,
66716,71.7,28.3,8,3,19,8,930,460,734,281,32,25,12,16,3,3,0,2,,,9,9,,
66717,38.4,61.6,3,4,6,10,518,712,327,526,8,17,20,11,3,6,2,4,2,4,12,22,,
66718,50.9,49.1,6,2,12,7,614,598,448,425,20,17,14,9,3,3,1,3,0,1,10,5,,
66719,62.9,37.1,8,5,29,7,867,600,669,400,21,18,7,31,5,3,3,1,1,0,6,3,,
66720,71.5,28.5,5,2,24,4,797,412,601,243,11,17,9,30,13,1,1,2,0,2,5,11,,
66721,40.4,59.6,0,13,9,19,532,761,402,614,14,8,7,12,3,2,0,4,3,1,13,7,,
66663,43.2,56.8,6,5,12,7,558,673,347,467,25,20,20,36,4,5,0,3,2,3,9,12,,
66512,71.3,28.7,9,5,22,10,784,389,587,231,16,11,20,27,13,6,1,0,0,1,11,20,0,1
66605,67.2,32.8,7,1,20,2,940,539,750,370,10,18,5,31,6,0,1,1,4,1,13,7,,
66707,29.1,70.9,2,5,4,24,496,938,300,734,15,18,39,12,1,9,0,2,2,0,6,6,,
66706,50.6,49.4,4,2,16,11,526,497,325,331,18,15,17,27,12,8,6,1,0,3,11,8,,
66703,27.5,72.5,5,7,10,18,375,752,212,586,5,14,23,9,5,2,2,1,0,3,8,8,2,0
66708,68.3,31.7,8,1,21,8,823,467,647,299,9,17,16,25,8,2,1,2,3,2,12,8,,
66702,48.4,51.6,4,4,13,16,655,681,464,486,20,12,18,13,1,5,1,0,1,3,11,15,,
66704,50.3,49.7,5,6,19,15,578,617,394,403,13,13,7,24,8,1,1,1,3,2,16,8,,
66709,40.5,59.5,5,7,13,13,537,716,351,526,19,26,10,19,7,3,3,2,0,1,4,6,,
66710,21.8,78.2,2,8,6,31,371,876,189,697,11,10,40,10,4,9,1,0,3,1,9,5,,
66711,64,36,4,2,17,11,802,500,613,350,8,24,10,23,5,3,,,0,3,5,10,,
66559,57.6,42.4,6,5,16,9,716,547,561,412,16,6,11,11,2,2,1,0,1,3,8,15,0,1
66664,32.1,67.9,0,4,5,17,546,969,379,817,16,17,18,11,1,4,0,3,1,0,10,14,1,0
66548,64.9,35.1,8,5,20,9,844,557,640,354,24,19,11,32,10,2,1,0,,,10,5,,
66640,48.2,51.8,0,5,6,16,678,675,470,488,15,25,19,12,1,13,1,1,1,2,5,12,,
66671,33.7,66.3,3,5,7,15,539,929,383,787,16,22,12,10,6,2,2,3,0,1,2,11,,
66662,39.2,60.8,4,6,9,17,528,702,343,530,12,15,15,13,2,3,3,2,,,10,12,,
66700,71.4,28.6,9,3,21,7,867,424,712,281,8,19,10,21,8,2,1,4,1,3,6,11,,
66694,42,58,6,5,17,15,555,707,373,526,11,13,18,31,7,6,3,3,0,2,13,9,,
66699,64.9,35.1,3,3,22,8,833,574,618,338,19,20,12,51,11,5,,,3,2,12,8,,
66692,63.2,36.8,9,2,19,3,820,517,621,364,16,24,9,24,8,2,1,0,2,2,13,15,0,1
66698,66,34,9,4,16,10,804,511,631,332,16,13,7,23,6,1,2,0,3,0,11,6,,
66701,36.5,63.5,2,5,8,13,530,832,384,679,12,12,20,15,9,5,2,3,1,1,7,7,,
66693,40.4,59.6,5,4,18,19,519,654,321,470,10,17,26,16,4,7,0,2,0,1,12,9,,
66695,49,51,6,7,14,12,593,630,424,446,16,13,10,16,4,5,1,2,1,2,13,11,,
66696,59.3,40.7,6,4,19,14,676,528,493,332,20,18,16,28,9,3,2,1,1,3,7,11,,
66697,67.7,32.3,7,1,15,6,718,418,533,248,11,16,10,21,8,5,2,0,2,1,11,18,0,1
66685,64.1,35.9,5,4,9,12,872,517,714,376,11,9,35,5,3,8,3,2,1,0,4,6,,
66690,56.6,43.4,3,7,8,13,742,619,586,454,11,16,8,26,3,7,1,0,2,2,7,9,,
66684,40.9,59.1,2,6,7,19,599,843,421,617,29,9,12,22,3,6,3,1,1,2,13,3,,
66683,21.7,78.3,4,5,9,17,393,918,197,720,13,18,24,17,3,8,0,2,3,5,9,12,,
66688,39.3,60.7,7,2,13,6,594,816,404,627,20,16,22,10,6,3,2,0,2,3,13,8,,
66686,33.9,66.1,2,10,4,24,467,718,274,528,19,15,21,15,0,6,9,1,1,3,11,11,,
66682,45.1,54.9,6,3,21,9,582,685,398,491,26,12,12,8,2,3,3,0,4,1,16,8,,
66687,38.3,61.7,3,5,8,14,512,755,326,529,23,8,23,29,6,7,0,4,1,3,13,11,,
66689,46.5,53.5,1,6,13,17,564,596,334,396,16,16,29,25,5,6,1,0,1,2,13,9,,
66691,49.2,50.8,1,9,11,17,629,665,458,479,19,22,11,10,7,3,1,1,2,1,6,4,,
66705,35.2,64.8,3,6,6,21,520,812,345,628,16,12,30,13,2,9,2,3,0,1,9,12,,
66677,52.5,47.5,7,2,17,9,674,616,432,392,13,29,8,25,6,3,1,1,2,2,12,13,,
66679,82.4,17.6,4,1,18,9,993,381,787,173,15,20,7,37,13,1,1,0,2,5,8,8,,
66673,44,56,2,0,15,9,569,716,393,508,12,11,23,33,12,8,1,1,2,1,8,7,,
66674,48.8,51.2,5,5,8,18,562,597,352,366,17,13,29,22,6,6,2,3,1,0,12,7,,
66675,35.9,64.1,5,4,14,10,530,794,324,590,20,28,16,15,3,6,5,2,3,1,8,7,,
66676,66.6,33.4,5,2,26,6,898,523,710,354,11,14,7,25,3,1,2,2,1,0,11,9,0,1
66672,54.9,45.1,7,5,14,14,656,567,507,412,10,13,16,17,1,7,2,2,3,4,9,12,,
66678,64.1,35.9,2,3,5,11,706,463,520,289,13,15,10,23,7,6,0,1,3,2,15,16,,
66680,74,26,8,2,21,5,874,428,701,247,25,11,12,30,11,4,0,2,1,0,9,7,,
66681,45.4,54.6,2,7,5,13,594,702,417,506,20,15,12,17,2,3,1,0,0,2,11,10,,
66633,43,57,6,3,16,11,543,677,354,479,15,15,24,23,10,10,3,2,2,2,7,7,,
66584,68,32,2,4,11,14,879,531,704,332,23,20,5,25,6,1,1,4,3,1,7,6,,
66513,36.7,63.3,3,3,13,11,548,786,353,631,14,11,13,15,5,4,0,1,4,2,8,17,,
66637,36.3,63.7,4,2,13,10,547,782,347,589,18,20,22,14,2,5,2,3,1,1,12,12,,
66636,65.1,34.9,5,1,17,2,840,521,667,353,16,20,14,15,7,4,1,2,0,3,12,7,,
66635,71.6,28.4,5,1,14,2,1083,503,897,354,15,22,6,16,9,2,3,2,1,2,3,6,,
66666,31.3,68.7,7,2,16,8,473,782,264,584,26,22,18,12,3,5,1,0,2,2,10,10,,
66670,61,39,8,1,21,9,700,491,505,325,6,11,23,25,13,4,1,1,2,2,9,11,,
66668,48.6,51.4,0,5,5,12,637,668,480,499,15,17,16,12,4,4,0,3,3,3,14,10,,
66665,60.8,39.2,9,4,20,15,809,569,623,386,16,20,11,18,6,7,3,0,,,8,6,,
66667,24.3,75.7,3,6,9,23,395,860,213,655,14,12,36,20,6,8,2,0,2,1,6,6,,
66669,50.8,49.2,4,5,18,16,606,594,395,382,13,22,20,15,6,5,1,0,2,1,11,9,,
66657,55.1,44.9,5,4,11,6,732,637,566,468,17,18,11,18,4,1,5,2,1,4,9,11,,
66653,51.5,48.5,8,5,19,11,667,641,477,461,15,20,8,28,9,3,1,2,2,3,12,14,,
66654,47.1,52.9,7,1,15,5,626,709,477,540,11,10,16,33,4,6,1,2,0,1,2,6,,
66656,50.8,49.2,3,3,12,11,690,685,511,495,20,17,10,15,3,4,,,1,1,11,12,,
66659,44.9,55.1,6,4,17,18,551,633,352,412,10,23,43,19,6,7,3,3,1,1,12,10,,
66655,32.5,67.5,3,4,7,12,531,858,307,641,18,15,35,14,5,7,1,2,2,2,4,10,,
66652,64.6,35.4,4,3,20,8,688,473,512,283,9,21,7,28,11,2,2,2,3,4,12,19,,
66660,29,71,1,14,4,24,481,929,292,748,18,29,15,14,2,3,0,1,1,0,11,10,,
66661,48.2,51.8,1,5,8,10,659,650,380,412,21,46,18,19,3,7,3,1,2,0,8,12,,
66658,41.1,58.9,4,2,12,5,550,699,378,546,11,24,13,15,1,2,1,0,1,1,6,13,,
66524,50.9,49.1,4,4,13,16,581,543,337,324,11,19,27,35,9,6,1,0,2,2,11,16,,
66645,31.4,68.6,5,3,6,12,468,826,293,647,18,16,16,5,0,2,2,4,0,2,11,15,,
66649,60.8,39.2,6,1,19,8,740,526,604,379,17,13,18,17,2,3,0,4,2,3,10,7,,
66648,53.9,46.1,5,3,11,11,742,667,582,495,10,15,12,23,6,5,4,1,2,2,13,6,,
66650,55.7,44.3,5,2,11,13,672,574,529,407,11,9,18,16,2,4,1,1,1,2,9,12,0,1
66647,73.1,26.9,3,2,20,5,912,457,716,263,23,23,3,23,9,3,1,3,1,1,9,8,,
66642,63,37,4,0,31,6,695,485,478,288,14,17,12,38,11,2,1,1,1,1,12,11,,
66643,23.3,76.7,1,6,3,18,366,902,235,778,11,7,22,5,1,8,5,0,1,0,11,6,,
66644,70.6,29.4,8,6,21,17,837,444,641,260,9,19,14,34,12,7,,,,,11,7,,
66646,55.8,44.2,3,6,12,14,682,581,470,360,19,9,33,25,4,7,,,1,1,14,7,,
66651,48.3,51.7,5,5,11,15,607,641,421,441,23,17,19,11,4,9,1,1,4,3,15,8,,
66639,52.7,47.3,4,1,17,6,730,680,604,544,13,6,8,19,5,3,1,0,0,1,7,7,,
66634,52.8,47.2,4,6,12,15,694,630,514,452,14,8,24,9,2,5,2,3,1,2,10,10,,
66641,47.8,52.2,8,6,14,15,607,644,414,448,15,26,14,16,2,5,1,3,1,5,13,14,1,0
66632,47,53,1,3,8,10,607,671,441,521,10,13,13,25,6,5,1,1,3,3,13,14,,
66536,38.3,61.7,3,6,9,17,466,643,276,447,18,15,28,11,5,7,1,1,2,1,13,11,1,0
66494,48.2,51.8,0,7,15,17,676,727,496,551,16,11,12,22,6,3,3,1,2,2,11,9,,
66602,48.4,51.6,2,3,9,9,694,702,505,528,16,16,17,15,1,6,4,2,0,1,9,9,,
66626,26.2,73.8,1,4,7,19,446,946,269,765,16,13,32,8,2,6,2,3,3,1,6,11,,
66622,46,54,8,3,21,6,650,723,481,564,15,17,15,10,2,6,2,0,0,3,8,10,,
66623,54.9,45.1,4,1,13,7,669,561,475,373,16,15,32,20,2,9,4,4,1,1,6,10,0,1
66629,43.5,56.5,6,3,10,10,619,749,459,584,13,16,14,3,4,5,0,2,2,1,8,7,,
66625,72.8,27.2,3,2,8,7,749,388,570,209,14,16,13,22,7,2,3,6,4,3,17,17,,
66627,38,62,2,3,7,14,537,784,356,597,22,12,11,19,5,2,7,0,2,1,13,11,1,0
66628,52.5,47.5,7,4,13,12,644,613,421,382,28,12,14,11,6,2,2,3,3,1,18,8,,
