MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
59168,65.5,34.5,4,5,14,14,721,480,547,291,8,6,12,28,7,4,2,1,0,4,9,6,,
59169,46.1,53.9,0,7,3,8,632,724,444,529,22,20,7,15,4,2,1,3,,,14,13,,
59174,59.4,40.6,4,6,9,8,690,535,492,330,13,24,18,22,4,5,1,1,,,11,10,,
59171,71.7,28.3,10,0,19,1,928,457,750,291,19,14,10,20,9,1,2,0,0,2,10,9,,
59173,49.2,50.8,3,6,12,15,595,635,392,411,20,16,18,30,2,2,0,4,2,3,10,10,,
59170,37.7,62.3,4,8,7,15,545,797,330,588,13,17,14,20,8,5,5,3,3,0,16,6,,
59222,58.3,41.7,10,6,17,11,848,627,673,481,8,22,10,11,5,5,1,4,1,0,6,4,,
59159,65.5,34.5,9,1,19,7,882,521,713,369,18,10,11,11,7,3,1,0,0,3,11,12,,
59165,34.7,65.3,5,2,16,17,458,721,276,528,14,19,17,11,6,6,1,1,1,1,9,9,,
59161,65.9,34.1,6,6,23,8,915,547,715,374,17,13,7,20,6,2,0,1,0,3,9,12,,
59163,64.2,35.8,5,1,12,5,887,545,690,373,27,18,20,11,1,5,1,4,2,3,8,17,,
59162,50.9,49.1,2,7,8,15,589,593,393,390,16,17,21,23,7,3,2,2,4,3,17,11,,
59156,49.2,50.8,1,2,9,10,585,621,410,424,23,12,16,29,5,3,3,0,1,0,13,13,,
59157,36.6,63.4,2,4,7,8,549,829,340,616,30,23,5,16,6,6,4,1,0,1,14,8,,
59164,52.8,47.2,3,5,13,9,619,561,396,365,11,17,21,30,9,7,1,1,,,11,10,,
59160,63.1,36.9,3,3,16,10,893,629,708,414,13,15,13,42,9,4,3,1,2,3,10,8,,
59158,41.1,58.9,5,3,9,15,589,770,419,595,15,12,16,17,2,3,2,2,1,1,5,12,1,0
59218,59.6,40.4,3,2,11,9,754,562,544,378,11,21,5,31,4,1,4,2,2,1,13,9,,
59184,48.1,51.9,3,3,11,11,670,704,450,500,9,20,22,31,3,3,3,2,3,1,9,7,,
59180,54.2,45.8,1,5,7,11,853,738,656,549,14,19,14,30,5,2,1,4,,,9,8,,
59177,38.9,61.1,7,4,12,16,522,746,351,571,8,9,13,31,5,8,3,2,0,2,6,12,,
59178,37,63,2,1,8,11,544,781,353,600,19,6,25,11,4,6,1,2,1,0,4,13,,
59182,28.2,71.8,2,4,9,16,443,838,263,641,13,9,47,9,2,7,1,1,1,0,13,6,1,0
59181,72.1,27.9,10,1,22,6,954,485,798,309,14,17,2,26,10,2,3,1,0,1,9,5,,
59148,46.6,53.4,1,1,7,9,617,676,410,462,20,26,23,13,4,10,4,0,0,2,13,9,,
59146,57.4,42.6,6,4,18,11,819,636,608,445,24,14,20,17,3,4,1,3,1,2,11,12,,
59153,39.3,60.7,2,8,8,16,579,802,406,638,11,12,17,15,4,3,3,1,,,9,9,,
59155,29.9,70.1,2,6,6,15,424,738,230,553,13,21,16,19,7,4,1,0,0,1,11,13,,
59149,69.2,30.8,3,4,13,9,701,431,517,227,18,16,6,21,7,5,,,3,2,14,14,,
59152,47.6,52.4,7,4,19,14,579,600,388,423,18,14,15,13,3,5,2,0,2,0,11,13,,
59147,40.4,59.6,0,4,3,16,568,737,364,540,20,18,14,16,1,3,1,0,1,1,10,14,,
59150,44.2,55.8,3,4,8,12,563,690,408,507,21,9,15,10,2,7,0,1,2,1,15,3,,
59154,58.3,41.7,7,3,16,10,815,593,633,439,12,11,26,12,3,4,,,,,6,10,,
59151,63.2,36.8,3,3,10,9,834,532,675,394,11,13,10,18,4,2,2,1,1,1,8,11,,
59069,46.7,53.3,7,5,11,13,520,582,319,365,25,18,20,4,2,4,1,2,1,2,11,13,,
59138,74.5,25.5,5,2,25,3,912,433,715,250,11,22,4,32,13,0,3,1,2,0,11,6,,
59136,45,55,1,3,7,15,608,738,479,599,8,5,12,17,1,3,1,3,2,2,11,9,,
59142,71.6,28.4,7,6,15,10,861,434,692,270,11,16,12,15,6,4,2,1,1,2,9,11,,
59139,62.1,37.9,1,3,6,10,615,436,433,267,17,16,16,24,5,5,4,3,3,0,16,10,0,1
59141,71.4,28.6,6,6,15,9,898,452,693,279,16,21,10,32,7,2,2,2,2,1,10,10,,
59140,65.1,34.9,7,2,15,4,800,495,597,321,6,20,19,23,6,4,1,3,1,2,11,14,,
59144,30.8,69.2,4,4,4,20,447,764,253,569,23,16,27,15,5,7,1,0,4,3,14,7,,
59137,49.9,50.1,2,7,11,16,634,627,430,450,17,16,9,23,7,8,4,1,2,1,11,12,,
59145,41,59,5,7,15,18,500,629,308,440,17,18,12,14,7,9,1,1,1,0,13,8,,
59143,29.1,70.9,1,3,4,9,486,915,295,727,17,22,18,6,3,6,0,4,1,1,10,10,,
59057,46,54,3,3,8,8,585,647,400,477,10,14,10,30,5,5,6,0,1,1,7,13,,
59050,29.6,70.4,2,7,3,16,469,923,313,755,18,11,28,6,0,10,,,2,1,8,8,,
59135,45.9,54.1,9,5,13,8,588,672,429,500,9,18,19,19,7,7,1,1,0,2,11,12,,
59128,65.6,34.4,6,4,18,10,752,482,564,289,19,16,17,18,10,5,0,2,,,9,13,,
59126,45.9,54.1,5,5,13,9,596,655,423,498,5,10,15,9,4,5,2,0,0,2,8,17,,
